StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0             0.0           0            0.0        9999.0     0.0         
S0         s          25.0       25.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S1         s          50.0       25.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S2         s          75.0       25.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S3         s          25.0       50.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S4         s          75.0       50.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S5         s          25.0       75.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S6         s          50.0       75.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
S7         s          75.0       75.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F0         f          25.0       25.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F1         f          50.0       25.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F2         f          75.0       25.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F3         f          25.0       50.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F4         f          75.0       50.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F5         f          25.0       75.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F6         f          50.0       75.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F7         f          75.0       75.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F8         f          40.0       50.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F9         f          73.0       52.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F10        f          90.0       55.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F11        f          55.0       79.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F12        f          69.0       89.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F13        f          32.0       80.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F14        f          39.0       96.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F15        f          23.0       80.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F16        f          4.0        83.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F17        f          18.0       58.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F18        f          1.0        56.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F19        f          13.0       31.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F20        f          -5.0       38.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F21        f          26.0       37.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F22        f          28.0       13.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F23        f          39.0       31.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F24        f          48.0       11.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F25        f          59.0       17.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F26        f          73.0       23.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F27        f          74.0       32.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
F28        f          90.0       44.0       0.0        0.0             0.0           0            0.0        9999.0     0.0         
C0         c          45.0       68.0       10.0       7.0             3.0           25           120.0      300.0      90.0        
C1         c          45.0       70.0       30.0       19.0            11.0          25           537.0      717.0      90.0        
C2         c          42.0       66.0       10.0       6.0             4.0           30           908.0      1088.0     90.0        
C3         c          42.0       68.0       10.0       6.0             4.0           30           631.0      811.0      90.0        
C4         c          42.0       65.0       10.0       6.0             4.0           50           999.0      1179.0     90.0        
C5         c          40.0       69.0       20.0       12.0            8.0           35           723.0      903.0      90.0        
C6         c          40.0       66.0       20.0       12.0            8.0           20           816.0      996.0      90.0        
C7         c          38.0       68.0       20.0       11.0            9.0           50           1048.0     1228.0     90.0        
C8         c          38.0       70.0       10.0       5.0             5.0           40           1010.0     1190.0     90.0        
C9         c          35.0       66.0       10.0       5.0             5.0           40           823.0      1003.0     90.0        
C10        c          35.0       69.0       10.0       5.0             5.0           40           916.0      1096.0     90.0        
C11        c          25.0       85.0       20.0       6.0             14.0          25           213.0      393.0      90.0        
C12        c          22.0       75.0       30.0       9.0             21.0          35           1036.0     1216.0     90.0        
C13        c          22.0       85.0       10.0       3.0             7.0           40           306.0      486.0      90.0        
C14        c          20.0       80.0       40.0       10.0            30.0          25           778.0      958.0      90.0        
C15        c          20.0       85.0       40.0       9.0             31.0          45           398.0      578.0      90.0        
C16        c          18.0       75.0       20.0       5.0             15.0          45           683.0      863.0      90.0        
C17        c          15.0       75.0       20.0       4.0             16.0          40           590.0      770.0      90.0        
C18        c          15.0       80.0       10.0       2.0             8.0           20           495.0      675.0      90.0        
C19        c          30.0       50.0       10.0       6.0             4.0           40           111.0      291.0      90.0        
C20        c          30.0       52.0       20.0       12.0            8.0           30           112.0      292.0      90.0        
C21        c          28.0       52.0       20.0       11.0            9.0           35           114.0      294.0      90.0        
C22        c          28.0       55.0       10.0       5.0             5.0           35           114.0      294.0      90.0        
C23        c          25.0       50.0       10.0       5.0             5.0           20           116.0      296.0      90.0        
C24        c          25.0       52.0       40.0       19.0            21.0          20           206.0      386.0      90.0        
