StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S0         s          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S1         s          50.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S2         s          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S3         s          25.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S4         s          75.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S5         s          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S6         s          50.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S7         s          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS0      f          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS1      f          50.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS2      f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS3      f          25.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS4      f          75.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS5      f          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS6      f          50.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS7      f          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F0         f          52.0       44.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F1         f          59.0       62.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F2         f          67.0       29.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F3         f          5.0        38.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F4         f          4.0        60.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F5         f          83.0       11.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F6         f          30.0       80.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F7         f          0.0        57.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F8         f          32.0       95.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F9         f          38.0       23.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F10        f          71.0       65.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F11        f          0.0        71.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F12        f          26.0       35.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F13        f          62.0       38.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F14        f          63.0       89.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F15        f          67.0       57.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F16        f          41.0       43.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F17        f          36.0       31.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F18        f          65.0       45.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F19        f          90.0       47.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F20        f          68.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
C0         c          27.0       37.0       23.0       17.0       6.0        35.0       309.0      674.0      90.0      
C1         c          39.0       4.0        10.0       1.0        9.0        20.0       700.0      714.0      90.0      
C2         c          52.0       38.0       23.0       17.0       6.0        45.0       526.0      975.0      90.0      
C3         c          67.0       61.0       10.0       9.0        1.0        40.0       299.0      886.0      90.0      
C4         c          29.0       53.0       10.0       5.0        5.0        35.0       634.0      793.0      90.0      
C5         c          22.0       31.0       11.0       8.0        3.0        20.0       672.0      928.0      90.0      
C6         c          31.0       32.0       11.0       11.0       0.0        45.0       401.0      772.0      90.0      
C7         c          89.0       37.0       10.0       4.0        6.0        50.0       286.0      508.0      90.0      
C8         c          23.0       32.0       14.0       10.0       4.0        35.0       295.0      715.0      90.0      
C9         c          78.0       57.0       37.0       27.0       10.0       20.0       426.0      703.0      90.0      
C10        c          27.0       31.0       31.0       27.0       4.0        40.0       594.0      988.0      90.0      
C11        c          65.0       52.0       26.0       21.0       5.0        30.0       329.0      730.0      90.0      
C12        c          6.0        42.0       18.0       3.0        15.0       30.0       681.0      1012.0     90.0      
C13        c          84.0       32.0       28.0       11.0       17.0       35.0       458.0      1102.0     90.0      
C14        c          36.0       8.0        10.0       2.0        8.0        20.0       259.0      1187.0     90.0      
C15        c          31.0       32.0       14.0       14.0       0.0        45.0       1069.0     1091.0     90.0      
C16        c          29.0       51.0       15.0       9.0        6.0        30.0       289.0      1016.0     90.0      
C17        c          47.0       39.0       11.0       9.0        2.0        40.0       537.0      890.0      90.0      
C18        c          30.0       32.0       10.0       9.0        1.0        25.0       271.0      588.0      90.0      
C19        c          100.0      33.0       10.0       3.0        7.0        50.0       311.0      1122.0     90.0      
C20        c          88.0       33.0       45.0       17.0       28.0       45.0       132.0      1207.0     90.0      
C21        c          47.0       40.0       11.0       9.0        2.0        25.0       136.0      866.0      90.0      
C22        c          91.0       29.0       33.0       11.0       22.0       35.0       949.0      1048.0     90.0      
C23        c          59.0       80.0       10.0       7.0        3.0        45.0       303.0      993.0      90.0      
C24        c          22.0       84.0       13.0       3.0        10.0       35.0       442.0      1082.0     90.0      
C25        c          24.0       50.0       10.0       5.0        5.0        20.0       135.0      377.0      90.0      
C26        c          35.0       19.0       25.0       14.0       11.0       40.0       180.0      672.0      90.0      
C27        c          58.0       77.0       34.0       26.0       8.0        35.0       332.0      368.0      90.0      
C28        c          39.0       21.0       10.0       5.0        5.0        40.0       401.0      470.0      90.0      
C29        c          91.0       30.0       45.0       15.0       30.0       35.0       907.0      1091.0     90.0      
C30        c          7.0        37.0       18.0       3.0        15.0       30.0       524.0      900.0      90.0      
C31        c          27.0       32.0       16.0       14.0       2.0        45.0       324.0      1129.0     90.0      
C32        c          10.0       41.0       10.0       2.0        8.0        50.0       223.0      836.0      90.0      
C33        c          3.0        45.0       22.0       1.0        21.0       30.0       1023.0     1135.0     90.0      
C34        c          29.0       49.0       10.0       6.0        4.0        45.0       157.0      330.0      90.0      
C35        c          30.0       33.0       10.0       9.0        1.0        20.0       450.0      717.0      90.0      
C36        c          37.0       69.0       11.0       6.0        5.0        45.0       738.0      846.0      90.0      
C37        c          41.0       68.0       11.0       7.0        4.0        30.0       193.0      1058.0     90.0      
C38        c          38.0       13.0       10.0       3.0        7.0        40.0       286.0      1164.0     90.0      
C39        c          61.0       60.0       10.0       10.0       0.0        25.0       629.0      756.0      90.0      
C40        c          88.0       33.0       26.0       10.0       16.0       25.0       1034.0     1147.0     90.0      
C41        c          50.0       36.0       17.0       12.0       5.0        35.0       390.0      951.0      90.0      
