StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S0         s          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S1         s          50.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S2         s          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S3         s          25.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S4         s          75.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S5         s          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S6         s          50.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S7         s          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS0      f          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS1      f          50.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS2      f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS3      f          25.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS4      f          75.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS5      f          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS6      f          50.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS7      f          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F0         f          65.0       33.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F1         f          0.0        46.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F2         f          23.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F3         f          23.0       10.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F4         f          44.0       44.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F5         f          19.0       49.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F6         f          49.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F7         f          41.0       21.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F8         f          46.0       28.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F9         f          33.0       47.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F10        f          38.0       19.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F11        f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F12        f          55.0       37.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F13        f          55.0       51.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F14        f          0.0        41.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F15        f          75.0       36.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F16        f          44.0       28.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F17        f          68.0       31.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F18        f          72.0       35.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F19        f          41.0       5.0        0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F20        f          51.0       35.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
C0         c          21.0       27.0       20.0       16.0       4.0        35.0       459.0      914.0      10.0      
C1         c          23.0       7.0        10.0       3.0        7.0        35.0       236.0      821.0      10.0      
C2         c          59.0       62.0       25.0       24.0       1.0        25.0       363.0      946.0      10.0      
C3         c          35.0       23.0       22.0       14.0       8.0        50.0       120.0      946.0      10.0      
C4         c          16.0       57.0       4.0        1.0        3.0        45.0       317.0      463.0      10.0      
C5         c          45.0       42.0       22.0       21.0       1.0        35.0       939.0      974.0      10.0      
C6         c          38.0       35.0       7.0        6.0        1.0        50.0       284.0      969.0      10.0      
C7         c          67.0       9.0        1.0        0.0        1.0        45.0       474.0      893.0      10.0      
C8         c          51.0       40.0       22.0       17.0       5.0        40.0       825.0      929.0      10.0      
C9         c          46.0       20.0       3.0        1.0        2.0        30.0       698.0      1071.0     10.0      
C10        c          34.0       25.0       1.0        1.0        0.0        40.0       884.0      968.0      10.0      
C11        c          53.0       52.0       14.0       14.0       0.0        45.0       301.0      1006.0     10.0      
C12        c          49.0       8.0        17.0       3.0        14.0       30.0       380.0      823.0      10.0      
C13        c          6.0        25.0       8.0        2.0        6.0        30.0       224.0      840.0      10.0      
C14        c          59.0       21.0       14.0       5.0        9.0        40.0       306.0      685.0      10.0      
C15        c          23.0       39.0       19.0       11.0       8.0        20.0       454.0      778.0      10.0      
C16        c          2.0        22.0       1.0        0.0        1.0        45.0       509.0      983.0      10.0      
C17        c          31.0       37.0       14.0       12.0       2.0        45.0       248.0      899.0      10.0      
C18        c          26.0       50.0       19.0       10.0       9.0        40.0       324.0      408.0      10.0      
C19        c          24.0       17.0       6.0        4.0        2.0        20.0       195.0      439.0      10.0      
C20        c          46.0       19.0       16.0       7.0        9.0        50.0       292.0      896.0      10.0      
C21        c          47.0       36.0       7.0        5.0        2.0        35.0       570.0      736.0      10.0      
C22        c          2.0        19.0       25.0       3.0        22.0       45.0       823.0      919.0      10.0      
C23        c          10.0       26.0       1.0        0.0        1.0        30.0       759.0      938.0      10.0      
C24        c          36.0       33.0       4.0        4.0        0.0        35.0       220.0      306.0      10.0      
C25        c          27.0       39.0       27.0       19.0       8.0        20.0       169.0      1023.0     10.0      
C26        c          13.0       45.0       9.0        3.0        6.0        30.0       401.0      716.0      10.0      
C27        c          30.0       70.0       34.0       15.0       19.0       40.0       516.0      968.0      10.0      
C28        c          40.0       25.0       14.0       9.0        5.0        25.0       246.0      871.0      10.0      
C29        c          2.0        57.0       14.0       0.0        14.0       20.0       342.0      871.0      10.0      
C30        c          65.0       55.0       5.0        4.0        1.0        50.0       264.0      446.0      10.0      
C31        c          24.0       23.0       22.0       21.0       1.0        45.0       755.0      831.0      10.0      
C32        c          42.0       38.0       14.0       13.0       1.0        20.0       187.0      838.0      10.0      
C33        c          24.0       32.0       8.0        6.0        2.0        30.0       225.0      481.0      10.0      
C34        c          28.0       19.0       20.0       14.0       6.0        40.0       576.0      930.0      10.0      
C35        c          41.0       47.0       12.0       10.0       2.0        50.0       186.0      345.0      10.0      
C36        c          17.0       11.0       1.0        1.0        0.0        45.0       168.0      1006.0     10.0      
C37        c          63.0       3.0        18.0       1.0        17.0       30.0       437.0      946.0      10.0      
C38        c          39.0       32.0       19.0       16.0       3.0        25.0       556.0      677.0      10.0      
C39        c          35.0       39.0       6.0        5.0        1.0        35.0       188.0      742.0      10.0      
C40        c          23.0       33.0       3.0        2.0        1.0        35.0       479.0      743.0      10.0      
C41        c          15.0       61.0       9.0        2.0        7.0        25.0       442.0      713.0      10.0      
