StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S0         s          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S1         s          50.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S2         s          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S3         s          25.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S4         s          75.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S5         s          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S6         s          50.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
S7         s          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS0      f          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS1      f          50.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS2      f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS3      f          25.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS4      f          75.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS5      f          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS6      f          50.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F_sS7      f          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F0         f          64.0       34.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F1         f          5.0        55.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F2         f          90.0       48.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F3         f          86.0       13.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F4         f          49.0       79.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F5         f          39.0       21.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F6         f          82.0       51.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F7         f          47.0       58.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F8         f          36.0       72.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F9         f          32.0       61.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F10        f          87.0       64.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F11        f          19.0       11.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F12        f          0.0        24.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F13        f          17.0       58.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F14        f          26.0       40.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F15        f          57.0       96.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F16        f          34.0       62.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F17        f          43.0       56.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F18        f          52.0       11.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F19        f          59.0       23.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
F20        f          48.0       11.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0       
C0         c          17.0       27.0       23.0       14.0       9.0        25.0       501.0      874.0      10.0      
C1         c          6.0        47.0       15.0       2.0        13.0       35.0       280.0      813.0      10.0      
C2         c          32.0       57.0       37.0       21.0       16.0       30.0       257.0      900.0      10.0      
C3         c          3.0        14.0       23.0       5.0        18.0       45.0       435.0      507.0      10.0      
C4         c          64.0       81.0       13.0       10.0       3.0        50.0       351.0      942.0      10.0      
C5         c          12.0       54.0       3.0        1.0        2.0        30.0       309.0      393.0      10.0      
C6         c          10.0       40.0       10.0       2.0        8.0        35.0       384.0      411.0      10.0      
C7         c          39.0       9.0        33.0       8.0        25.0       30.0       843.0      885.0      10.0      
C8         c          31.0       25.0       10.0       8.0        2.0        50.0       289.0      440.0      10.0      
C9         c          29.0       39.0       16.0       12.0       4.0        50.0       925.0      1042.0     10.0      
C10        c          52.0       76.0       28.0       19.0       9.0        50.0       392.0      572.0      10.0      
C11        c          56.0       14.0       27.0       7.0        20.0       35.0       272.0      758.0      10.0      
C12        c          51.0       23.0       16.0       7.0        9.0        20.0       519.0      889.0      10.0      
C13        c          70.0       11.0       16.0       3.0        13.0       50.0       481.0      572.0      10.0      
C14        c          87.0       32.0       2.0        1.0        1.0        30.0       217.0      381.0      10.0      
C15        c          11.0       19.0       25.0       14.0       11.0       35.0       645.0      839.0      10.0      
C16        c          0.0        47.0       22.0       0.0        22.0       25.0       540.0      868.0      10.0      
C17        c          11.0       38.0       12.0       3.0        9.0        30.0       210.0      454.0      10.0      
C18        c          68.0       23.0       9.0        3.0        6.0        35.0       236.0      832.0      10.0      
C19        c          64.0       37.0       28.0       16.0       12.0       25.0       499.0      514.0      10.0      
C20        c          5.0        41.0       15.0       2.0        13.0       50.0       767.0      907.0      10.0      
C21        c          67.0       96.0       2.0        1.0        1.0        25.0       145.0      708.0      10.0      
C22        c          58.0       89.0       15.0       10.0       5.0        30.0       511.0      901.0      10.0      
C23        c          9.0        45.0       16.0       3.0        13.0       40.0       386.0      778.0      10.0      
C24        c          62.0       76.0       26.0       21.0       5.0        40.0       346.0      720.0      10.0      
C25        c          48.0       13.0       17.0       5.0        12.0       35.0       174.0      768.0      10.0      
C26        c          46.0       11.0       20.0       5.0        15.0       40.0       639.0      1011.0     10.0      
C27        c          15.0       78.0       5.0        1.0        4.0        30.0       500.0      614.0      10.0      
C28        c          95.0       29.0       37.0       11.0       26.0       30.0       555.0      711.0      10.0      
C29        c          19.0       88.0       27.0       6.0        21.0       30.0       514.0      969.0      10.0      
C30        c          4.0        64.0       13.0       1.0        12.0       30.0       269.0      743.0      10.0      
C31        c          9.0        42.0       9.0        2.0        7.0        40.0       219.0      802.0      10.0      
C32        c          26.0       36.0       18.0       13.0       5.0        35.0       404.0      568.0      10.0      
C33        c          57.0       25.0       11.0       5.0        6.0        20.0       407.0      938.0      10.0      
C34        c          61.0       76.0       23.0       18.0       5.0        35.0       811.0      920.0      10.0      
C35        c          37.0       4.0        18.0       2.0        16.0       20.0       543.0      666.0      10.0      
C36        c          21.0       86.0       20.0       5.0        15.0       30.0       373.0      520.0      10.0      
C37        c          57.0       49.0       11.0       9.0        2.0        40.0       847.0      913.0      10.0      
C38        c          30.0       71.0       8.0        3.0        5.0        45.0       323.0      554.0      10.0      
C39        c          93.0       37.0       27.0       11.0       16.0       35.0       396.0      718.0      10.0      
C40        c          34.0       42.0       2.0        2.0        0.0        40.0       275.0      326.0      10.0      
C41        c          48.0       48.0       28.0       28.0       0.0        50.0       624.0      691.0      10.0      
