StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S0         s          25.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S1         s          50.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S2         s          75.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S3         s          25.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S4         s          75.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S5         s          25.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S6         s          50.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S7         s          75.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS0      f          25.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS1      f          50.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS2      f          75.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS3      f          25.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS4      f          75.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS5      f          25.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS6      f          50.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS7      f          75.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F0         f          48.0       49.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F1         f          70.0       96.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F2         f          46.0       31.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F3         f          12.0       44.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F4         f          40.0       41.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F5         f          26.0       71.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F6         f          70.0       82.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F7         f          73.0       43.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F8         f          90.0       48.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F9         f          9.0        30.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F10        f          90.0       96.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F11        f          41.0       48.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F12        f          13.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F13        f          27.0       48.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F14        f          88.0       96.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F15        f          48.0       40.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F16        f          56.0       42.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F17        f          33.0       96.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F18        f          46.0       38.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F19        f          48.0       72.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F20        f          82.0       96.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
C0         c          55.0       80.0       10.0       3.0             7.0           40.0         386.0      704.0      90.0        
C1         c          69.0       59.0       10.0       1.0             9.0           25.0         524.0      703.0      90.0        
C2         c          30.0       35.0       35.0       5.0             30.0          35.0         678.0      801.0      90.0        
C3         c          62.0       77.0       15.0       3.0             12.0          40.0         712.0      834.0      90.0        
C4         c          32.0       32.0       12.0       0.0             12.0          25.0         598.0      1094.0     90.0        
C5         c          36.0       10.0       21.0       15.0            6.0           25.0         176.0      457.0      90.0        
C6         c          28.0       34.0       14.0       2.0             12.0          30.0         535.0      862.0      90.0        
C7         c          42.0       12.0       20.0       14.0            6.0           25.0         220.0      842.0      90.0        
C8         c          66.0       85.0       41.0       9.0             32.0          40.0         753.0      808.0      90.0        
C9         c          48.0       34.0       10.0       3.0             7.0           30.0         384.0      564.0      90.0        
C10        c          34.0       2.0        10.0       9.0             1.0           35.0         453.0      848.0      90.0        
C11        c          31.0       26.0       29.0       5.0             24.0          30.0         308.0      618.0      90.0        
C12        c          53.0       81.0       10.0       3.0             7.0           35.0         1048.0     1169.0     90.0        
C13        c          95.0       33.0       10.0       7.0             3.0           40.0         302.0      340.0      90.0        
C14        c          64.0       86.0       10.0       3.0             7.0           40.0         1012.0     1140.0     90.0        
C15        c          29.0       33.0       10.0       1.0             9.0           30.0         219.0      393.0      90.0        
C16        c          67.0       57.0       28.0       4.0             24.0          35.0         856.0      946.0      90.0        
C17        c          47.0       68.0       10.0       3.0             7.0           25.0         635.0      802.0      90.0        
C18        c          86.0       28.0       12.0       8.0             4.0           45.0         390.0      880.0      90.0        
C19        c          89.0       30.0       24.0       16.0            8.0           20.0         568.0      796.0      90.0        
C20        c          56.0       36.0       34.0       12.0            22.0          25.0         657.0      925.0      90.0        
C21        c          40.0       68.0       10.0       4.0             6.0           50.0         160.0      708.0      90.0        
C22        c          28.0       31.0       10.0       1.0             9.0           30.0         650.0      852.0      90.0        
C23        c          41.0       11.0       44.0       32.0            12.0          40.0         331.0      533.0      90.0        
C24        c          22.0       81.0       22.0       16.0            6.0           30.0         639.0      817.0      90.0        
C25        c          33.0       31.0       12.0       1.0             11.0          25.0         548.0      592.0      90.0        
C26        c          63.0       57.0       16.0       2.0             14.0          40.0         565.0      1012.0     90.0        
C27        c          25.0       47.0       11.0       5.0             6.0           30.0         526.0      919.0      90.0        
C28        c          51.0       32.0       22.0       8.0             14.0          25.0         659.0      1020.0     90.0        
C29        c          44.0       66.0       33.0       11.0            22.0          45.0         249.0      454.0      90.0        
C30        c          17.0       79.0       28.0       22.0            6.0           40.0         548.0      1089.0     90.0        
C31        c          3.0        35.0       14.0       13.0            1.0           40.0         450.0      721.0      90.0        
C32        c          93.0       32.0       10.0       7.0             3.0           30.0         1054.0     1085.0     90.0        
C33        c          44.0       66.0       33.0       11.0            22.0          35.0         387.0      424.0      90.0        
C34        c          60.0       61.0       29.0       0.0             29.0          30.0         246.0      727.0      90.0        
C35        c          8.0        36.0       20.0       16.0            4.0           35.0         931.0      1159.0     90.0        
C36        c          35.0       8.0        10.0       8.0             2.0           35.0         572.0      1053.0     90.0        
C37        c          51.0       36.0       10.0       3.0             7.0           20.0         955.0      1007.0     90.0        
C38        c          31.0       32.0       15.0       0.0             15.0          50.0         196.0      456.0      90.0        
C39        c          31.0       35.0       25.0       3.0             22.0          50.0         250.0      521.0      90.0        
C40        c          39.0       68.0       10.0       4.0             6.0           35.0         123.0      742.0      90.0        
C41        c          69.0       57.0       24.0       4.0             20.0          40.0         456.0      696.0      90.0        
