StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S0         s          25.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S1         s          50.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S2         s          75.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S3         s          25.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S4         s          75.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S5         s          25.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S6         s          50.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S7         s          75.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS0      f          25.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS1      f          50.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS2      f          75.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS3      f          25.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS4      f          75.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS5      f          25.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS6      f          50.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS7      f          75.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F0         f          36.0       26.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F1         f          75.0       58.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F2         f          59.0       34.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F3         f          66.0       65.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F4         f          30.0       55.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F5         f          24.0       57.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F6         f          55.0       65.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F7         f          22.0       49.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F8         f          40.0       60.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F9         f          64.0       12.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F10        f          20.0       30.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F11        f          20.0       39.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F12        f          75.0       17.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F13        f          25.0       66.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F14        f          52.0       46.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F15        f          36.0       31.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F16        f          43.0       62.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F17        f          35.0       28.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F18        f          60.0       29.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F19        f          11.0       29.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F20        f          66.0       6.0        0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
C0         c          30.0       56.0       23.0       11.0            12.0          50.0         199.0      273.0      10.0        
C1         c          50.0       60.0       8.0        1.0             7.0           30.0         255.0      282.0      10.0        
C2         c          45.0       59.0       1.0        0.0             1.0           45.0         129.0      191.0      10.0        
C3         c          30.0       16.0       27.0       13.0            14.0          40.0         203.0      231.0      10.0        
C4         c          29.0       58.0       20.0       10.0            10.0          35.0         170.0      315.0      10.0        
C5         c          66.0       65.0       6.0        0.0             6.0           30.0         197.0      250.0      10.0        
C6         c          8.0        57.0       18.0       15.0            3.0           50.0         187.0      201.0      10.0        
C7         c          44.0       3.0        12.0       11.0            1.0           30.0         178.0      240.0      10.0        
C8         c          27.0       8.0        25.0       18.0            7.0           35.0         164.0      228.0      10.0        
C9         c          38.0       37.0       1.0        0.0             1.0           50.0         130.0      155.0      10.0        
C10        c          37.0       31.0       4.0        1.0             3.0           30.0         154.0      180.0      10.0        
C11        c          57.0       23.0       28.0       17.0            11.0          45.0         259.0      277.0      10.0        
C12        c          63.0       42.0       7.0        2.0             5.0           45.0         132.0      269.0      10.0        
C13        c          34.0       35.0       24.0       1.0             23.0          40.0         188.0      268.0      10.0        
C14        c          29.0       38.0       10.0       2.0             8.0           35.0         194.0      273.0      10.0        
C15        c          49.0       41.0       18.0       3.0             15.0          30.0         242.0      285.0      10.0        
C16        c          19.0       41.0       10.0       5.0             5.0           40.0         188.0      254.0      10.0        
C17        c          45.0       36.0       18.0       4.0             14.0          45.0         200.0      309.0      10.0        
C18        c          38.0       42.0       5.0        0.0             5.0           20.0         179.0      220.0      10.0        
C19        c          5.0        27.0       22.0       18.0            4.0           40.0         121.0      222.0      10.0        
C20        c          19.0       55.0       5.0        3.0             2.0           35.0         317.0      322.0      10.0        
C21        c          35.0       27.0       8.0        2.0             6.0           30.0         161.0      300.0      10.0        
C22        c          20.0       3.0        19.0       16.0            3.0           45.0         199.0      236.0      10.0        
C23        c          2.0        33.0       36.0       34.0            2.0           45.0         298.0      305.0      10.0        
C24        c          39.0       74.0       23.0       11.0            12.0          30.0         159.0      268.0      10.0        
C25        c          17.0       28.0       18.0       7.0             11.0          30.0         302.0      312.0      10.0        
C26        c          54.0       40.0       8.0        2.0             6.0           40.0         206.0      221.0      10.0        
C27        c          67.0       56.0       1.0        0.0             1.0           40.0         280.0      289.0      10.0        
C28        c          21.0       16.0       13.0       3.0             10.0          45.0         265.0      276.0      10.0        
C29        c          15.0       3.0        11.0       9.0             2.0           40.0         278.0      280.0      10.0        
C30        c          65.0       75.0       6.0        1.0             5.0           40.0         237.0      303.0      10.0        
C31        c          34.0       35.0       36.0       1.0             35.0          30.0         170.0      282.0      10.0        
C32        c          47.0       35.0       19.0       5.0             14.0          30.0         290.0      293.0      10.0        
C33        c          21.0       15.0       6.0        2.0             4.0           25.0         179.0      292.0      10.0        
C34        c          43.0       18.0       22.0       13.0            9.0           20.0         232.0      241.0      10.0        
C35        c          17.0       16.0       22.0       1.0             21.0          35.0         138.0      176.0      10.0        
C36        c          38.0       3.0        32.0       29.0            3.0           35.0         213.0      248.0      10.0        
C37        c          67.0       12.0       3.0        2.0             1.0           35.0         160.0      191.0      10.0        
C38        c          21.0       53.0       7.0        4.0             3.0           45.0         309.0      311.0      10.0        
C39        c          52.0       37.0       15.0       4.0             11.0          40.0         157.0      250.0      10.0        
C40        c          44.0       64.0       24.0       8.0             16.0          45.0         187.0      317.0      10.0        
C41        c          59.0       63.0       27.0       2.0             25.0          30.0         267.0      327.0      10.0        
