StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S0         s          25.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S1         s          50.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S2         s          75.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S3         s          25.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S4         s          75.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S5         s          25.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S6         s          50.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
S7         s          75.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS0      f          25.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS1      f          50.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS2      f          75.0       25.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS3      f          25.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS4      f          75.0       50.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS5      f          25.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS6      f          50.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F_sS7      f          75.0       75.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F0         f          88.0       27.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F1         f          34.0       17.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F2         f          34.0       58.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F3         f          73.0       13.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F4         f          64.0       62.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F5         f          53.0       32.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F6         f          0.0        44.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F7         f          80.0       89.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F8         f          13.0       95.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F9         f          70.0       54.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F10        f          11.0       32.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F11        f          51.0       55.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F12        f          65.0       34.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F13        f          86.0       24.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F14        f          32.0       55.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F15        f          62.0       54.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F16        f          46.0       42.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F17        f          15.0       29.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F18        f          54.0       41.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F19        f          42.0       69.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
F20        f          62.0       76.0       0.0        0.0             0.0           0.0          0.0        9999.0     0.0         
C0         c          3.0        59.0       17.0       16.0            1.0           35.0         170.0      253.0      10.0        
C1         c          19.0       84.0       23.0       18.0            5.0           35.0         106.0      293.0      10.0        
C2         c          0.0        46.0       20.0       20.0            0.0           25.0         185.0      320.0      10.0        
C3         c          56.0       69.0       25.0       5.0             20.0          30.0         103.0      266.0      10.0        
C4         c          91.0       31.0       28.0       18.0            10.0          20.0         203.0      237.0      10.0        
C5         c          8.0        12.0       21.0       7.0             14.0          40.0         144.0      191.0      10.0        
C6         c          63.0       73.0       20.0       3.0             17.0          30.0         239.0      303.0      10.0        
C7         c          56.0       83.0       7.0        2.0             5.0           50.0         189.0      231.0      10.0        
C8         c          31.0       33.0       23.0       1.0             22.0          35.0         150.0      248.0      10.0        
C9         c          20.0       57.0       2.0        1.0             1.0           40.0         107.0      268.0      10.0        
C10        c          42.0       13.0       17.0       12.0            5.0           35.0         167.0      236.0      10.0        
C11        c          36.0       9.0        2.0        2.0             0.0           30.0         163.0      247.0      10.0        
C12        c          1.0        36.0       19.0       18.0            1.0           30.0         106.0      181.0      10.0        
C13        c          54.0       52.0       20.0       1.0             19.0          50.0         180.0      305.0      10.0        
C14        c          88.0       23.0       31.0       23.0            8.0           40.0         185.0      243.0      10.0        
C15        c          48.0       9.0        3.0        2.0             1.0           45.0         197.0      237.0      10.0        
C16        c          64.0       81.0       24.0       5.0             19.0          45.0         129.0      213.0      10.0        
C17        c          59.0       73.0       33.0       6.0             27.0          35.0         129.0      308.0      10.0        
C18        c          28.0       85.0       25.0       17.0            8.0           40.0         112.0      259.0      10.0        
C19        c          67.0       6.0        23.0       21.0            2.0           30.0         116.0      235.0      10.0        
C20        c          94.0       31.0       18.0       12.0            6.0           45.0         276.0      295.0      10.0        
C21        c          29.0       56.0       8.0        4.0             4.0           35.0         222.0      253.0      10.0        
C22        c          35.0       61.0       18.0       8.0             10.0          50.0         156.0      292.0      10.0        
C23        c          0.0        45.0       30.0       30.0            0.0           30.0         151.0      184.0      10.0        
C24        c          51.0       78.0       4.0        1.0             3.0           35.0         106.0      190.0      10.0        
C25        c          34.0       33.0       7.0        0.0             7.0           25.0         141.0      177.0      10.0        
C26        c          36.0       8.0        32.0       25.0            7.0           45.0         129.0      269.0      10.0        
C27        c          57.0       21.0       2.0        1.0             1.0           30.0         265.0      270.0      10.0        
C28        c          61.0       27.0       14.0       8.0             6.0           40.0         113.0      142.0      10.0        
C29        c          61.0       84.0       18.0       5.0             13.0          45.0         108.0      287.0      10.0        
C30        c          14.0       35.0       16.0       10.0            6.0           40.0         120.0      145.0      10.0        
C31        c          24.0       87.0       2.0        1.0             1.0           30.0         161.0      224.0      10.0        
C32        c          16.0       47.0       12.0       8.0             4.0           40.0         182.0      263.0      10.0        
C33        c          29.0       62.0       28.0       15.0            13.0          35.0         127.0      155.0      10.0        
C34        c          83.0       29.0       33.0       21.0            12.0          30.0         248.0      282.0      10.0        
C35        c          11.0       23.0       14.0       7.0             7.0           40.0         113.0      146.0      10.0        
C36        c          38.0       45.0       26.0       4.0             22.0          45.0         125.0      149.0      10.0        
C37        c          60.0       77.0       39.0       9.0             30.0          40.0         198.0      237.0      10.0        
C38        c          17.0       82.0       30.0       24.0            6.0           25.0         133.0      137.0      10.0        
C39        c          93.0       33.0       19.0       12.0            7.0           30.0         125.0      154.0      10.0        
C40        c          89.0       30.0       12.0       8.0             4.0           20.0         121.0      147.0      10.0        
C41        c          14.0       47.0       9.0        6.0             3.0           45.0         191.0      261.0      10.0        
