Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,21,53,15,,,,,,,
1,54,78,15,,,,,,,
1,26,30,15,,,,,,,
1,52,57,15,,,,,,,
1,34,42,15,,,,,,,
1,67,41,15,,,,,,,
1,41,64,15,,,,,,,
1,78,32,15,,,,,,,
3,55,60,5,0.0,300.0,3.0,1.0,420.0,,
2,74,75,5,0.0,300.0,2.0,1.0,9999.0,,
2,30,96,5,300.0,420.0,3.0,1.0,9999.0,,
3,30,96,5,300.0,420.0,2.0,1.0,840.0,,
2,84,100,5,0.0,300.0,3.0,1.0,9999.0,,
3,100,96,5,0.0,300.0,2.0,1.0,840.0,,
2,81,59,5,420.0,540.0,1.0,1.0,9999.0,,
2,57,55,5,60.0,180.0,4.0,1.0,9999.0,,
3,57,55,5,60.0,180.0,3.0,1.0,840.0,,
2,35,20,5,0.0,300.0,4.0,1.0,9999.0,,
3,23,31,5,300.0,600.0,4.0,1.0,720.0,,
2,97,89,5,0.0,300.0,3.0,1.0,9999.0,,
2,68,60,5,300.0,600.0,2.0,1.0,9999.0,,
3,68,60,5,300.0,600.0,3.0,1.0,720.0,,
2,61,81,5,300.0,600.0,2.0,1.0,9999.0,,
3,61,81,5,300.0,600.0,1.0,1.0,720.0,,
2,14,89,5,420.0,540.0,2.0,1.0,9999.0,,
3,14,89,5,420.0,540.0,2.0,1.0,840.0,,
3,54,19,5,0.0,300.0,2.0,1.0,720.0,,
2,38,28,5,60.0,180.0,2.0,1.0,9999.0,,
3,35,29,5,300.0,420.0,2.0,1.0,720.0,,
3,15,86,5,420.0,540.0,1.0,1.0,840.0,,
3,31,33,5,420.0,540.0,2.0,1.0,720.0,,
2,24,78,5,300.0,600.0,1.0,1.0,9999.0,,
2,30,26,5,300.0,600.0,4.0,1.0,9999.0,,
2,30,71,5,0.0,300.0,4.0,1.0,9999.0,,
3,75,75,5,0.0,300.0,3.0,1.0,720.0,,
3,47,14,5,300.0,600.0,1.0,1.0,720.0,,
2,8,26,5,180.0,300.0,3.0,1.0,9999.0,,
3,8,26,5,180.0,300.0,1.0,1.0,840.0,,
2,99,61,5,420.0,540.0,1.0,1.0,9999.0,,
3,60,63,5,300.0,600.0,4.0,1.0,840.0,,
2,71,3,5,0.0,300.0,4.0,1.0,9999.0,,
3,65,26,5,420.0,540.0,3.0,1.0,720.0,,
2,51,2,5,0.0,300.0,2.0,1.0,9999.0,,
2,47,67,5,0.0,300.0,2.0,1.0,9999.0,,
3,47,67,5,0.0,300.0,2.0,1.0,480.0,,
3,35,24,5,300.0,600.0,3.0,1.0,840.0,,
2,37,74,5,420.0,540.0,1.0,1.0,9999.0,,
3,37,74,5,420.0,540.0,4.0,1.0,840.0,,
2,24,59,5,300.0,600.0,1.0,1.0,9999.0,,
2,13,68,5,300.0,600.0,4.0,1.0,9999.0,,
3,13,68,5,300.0,600.0,4.0,1.0,840.0,,
3,75,100,5,300.0,600.0,2.0,1.0,840.0,,
3,73,64,5,0.0,300.0,4.0,1.0,720.0,,
3,61,58,5,0.0,300.0,3.0,1.0,840.0,,
2,39,16,5,300.0,600.0,2.0,1.0,9999.0,,
3,82,50,5,60.0,180.0,1.0,1.0,480.0,,
3,52,7,5,420.0,540.0,2.0,1.0,720.0,,
3,42,78,5,420.0,540.0,3.0,1.0,840.0,,
2,58,64,5,0.0,300.0,3.0,1.0,9999.0,,
2,74,35,5,300.0,420.0,2.0,1.0,9999.0,,
2,32,43,5,300.0,600.0,4.0,1.0,9999.0,,
2,23,46,5,0.0,300.0,2.0,1.0,9999.0,,
3,23,46,5,0.0,300.0,4.0,1.0,420.0,,
2,15,18,5,0.0,300.0,3.0,1.0,9999.0,,
2,57,100,5,300.0,600.0,3.0,1.0,9999.0,,
2,1,35,5,0.0,300.0,3.0,1.0,9999.0,,
3,1,35,5,0.0,300.0,3.0,1.0,720.0,,
2,5,51,5,300.0,600.0,1.0,1.0,9999.0,,
2,90,8,5,300.0,600.0,2.0,1.0,9999.0,,
2,42,19,5,300.0,420.0,2.0,1.0,9999.0,,
3,42,19,5,300.0,420.0,1.0,1.0,720.0,,
3,64,6,5,180.0,300.0,4.0,1.0,420.0,,
2,23,17,5,300.0,600.0,1.0,1.0,9999.0,,
3,24,11,5,300.0,600.0,2.0,1.0,720.0,,
2,37,69,5,0.0,300.0,1.0,1.0,9999.0,,
2,50,52,5,60.0,180.0,4.0,1.0,9999.0,,
3,50,52,5,60.0,180.0,4.0,1.0,720.0,,
2,77,91,5,0.0,300.0,1.0,1.0,9999.0,,
3,77,91,5,0.0,300.0,2.0,1.0,720.0,,
2,9,52,5,300.0,600.0,3.0,1.0,9999.0,,
3,9,52,5,300.0,600.0,3.0,1.0,720.0,,
2,9,67,5,0.0,300.0,1.0,1.0,9999.0,,
2,25,97,5,300.0,600.0,4.0,1.0,9999.0,,
3,25,97,5,300.0,600.0,1.0,1.0,840.0,,
2,52,100,5,300.0,600.0,1.0,1.0,9999.0,,
2,97,97,5,300.0,600.0,1.0,1.0,9999.0,,
3,97,97,5,300.0,600.0,2.0,1.0,840.0,,
2,0,54,5,60.0,180.0,4.0,1.0,9999.0,,
3,33,3,5,0.0,300.0,1.0,1.0,420.0,,
2,85,59,5,0.0,300.0,4.0,1.0,9999.0,,
2,95,1,5,180.0,300.0,3.0,1.0,9999.0,,
2,58,60,5,180.0,300.0,4.0,1.0,9999.0,,
3,85,85,5,300.0,600.0,2.0,1.0,840.0,,
2,85,32,5,60.0,180.0,1.0,1.0,9999.0,,
2,61,68,5,0.0,300.0,2.0,1.0,9999.0,,
2,22,54,5,300.0,600.0,1.0,1.0,9999.0,,
2,31,75,5,300.0,600.0,4.0,1.0,9999.0,,
2,53,88,5,60.0,180.0,1.0,1.0,9999.0,,
2,36,96,5,420.0,540.0,3.0,1.0,9999.0,,
3,36,96,5,420.0,540.0,1.0,1.0,840.0,,
2,25,21,5,60.0,180.0,3.0,1.0,9999.0,,
2,68,20,5,300.0,600.0,1.0,1.0,9999.0,,
3,87,70,5,180.0,300.0,2.0,1.0,720.0,,
2,5,31,5,180.0,300.0,4.0,1.0,9999.0,,
2,56,60,5,300.0,600.0,1.0,1.0,9999.0,,
2,46,24,5,0.0,300.0,1.0,1.0,9999.0,,
3,1,95,5,0.0,300.0,4.0,1.0,480.0,,
2,46,0,5,60.0,180.0,2.0,1.0,9999.0,,
3,46,0,5,60.0,180.0,2.0,1.0,420.0,,
2,53,22,5,420.0,540.0,4.0,1.0,9999.0,,
3,53,22,5,420.0,540.0,2.0,1.0,720.0,,
2,11,73,5,300.0,600.0,3.0,1.0,9999.0,,
3,11,73,5,300.0,600.0,2.0,1.0,720.0,,
2,50,63,5,0.0,300.0,2.0,1.0,9999.0,,
2,17,27,5,180.0,300.0,2.0,1.0,9999.0,,
2,79,44,5,300.0,600.0,2.0,1.0,9999.0,,
3,79,44,5,300.0,600.0,4.0,1.0,840.0,,
