Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,23,52,15,,,,,,,
1,79,41,15,,,,,,,
3,6,5,5,300.0,600.0,1.0,1.0,720.0,,
3,71,33,5,300.0,600.0,1.0,1.0,720.0,,
2,54,40,5,0.0,300.0,2.0,1.0,9999.0,,
3,54,40,5,0.0,300.0,4.0,1.0,720.0,,
3,29,44,5,0.0,300.0,1.0,1.0,480.0,,
2,8,25,5,300.0,600.0,2.0,1.0,9999.0,,
2,28,6,5,300.0,600.0,3.0,1.0,9999.0,,
2,69,78,5,300.0,600.0,4.0,1.0,9999.0,,
3,69,78,5,300.0,600.0,3.0,1.0,720.0,,
2,14,3,5,300.0,600.0,3.0,1.0,9999.0,,
3,14,3,5,300.0,600.0,3.0,1.0,840.0,,
3,18,21,5,0.0,300.0,1.0,1.0,480.0,,
2,92,89,5,60.0,180.0,3.0,1.0,9999.0,,
2,13,62,5,0.0,300.0,3.0,1.0,9999.0,,
2,3,60,5,0.0,300.0,2.0,1.0,9999.0,,
3,3,60,5,0.0,300.0,2.0,1.0,840.0,,
3,31,96,5,0.0,300.0,3.0,1.0,720.0,,
2,37,7,5,0.0,300.0,4.0,1.0,9999.0,,
2,39,21,5,300.0,420.0,1.0,1.0,9999.0,,
2,91,14,5,0.0,300.0,2.0,1.0,9999.0,,
2,60,43,5,0.0,300.0,3.0,1.0,9999.0,,
2,8,60,5,180.0,300.0,2.0,1.0,9999.0,,
3,73,34,5,0.0,300.0,4.0,1.0,420.0,,
3,52,24,5,300.0,420.0,1.0,1.0,840.0,,
2,21,37,5,0.0,300.0,2.0,1.0,9999.0,,
2,43,18,5,0.0,300.0,4.0,1.0,9999.0,,
3,43,18,5,0.0,300.0,4.0,1.0,720.0,,
2,60,97,5,300.0,420.0,1.0,1.0,9999.0,,
2,47,32,5,0.0,300.0,2.0,1.0,9999.0,,
3,94,16,5,0.0,300.0,1.0,1.0,420.0,,
2,14,92,5,60.0,180.0,1.0,1.0,9999.0,,
2,89,41,5,0.0,300.0,1.0,1.0,9999.0,,
3,71,49,5,0.0,300.0,4.0,1.0,840.0,,
2,1,12,5,300.0,600.0,2.0,1.0,9999.0,,
3,39,10,5,180.0,300.0,1.0,1.0,480.0,,
2,96,42,5,300.0,600.0,4.0,1.0,9999.0,,
2,37,34,5,0.0,300.0,4.0,1.0,9999.0,,
3,37,34,5,0.0,300.0,1.0,1.0,840.0,,
2,58,85,5,60.0,180.0,4.0,1.0,9999.0,,
3,58,85,5,60.0,180.0,3.0,1.0,480.0,,
2,83,36,5,0.0,300.0,1.0,1.0,9999.0,,
3,83,36,5,0.0,300.0,3.0,1.0,420.0,,
2,93,100,5,0.0,300.0,3.0,1.0,9999.0,,
3,93,100,5,0.0,300.0,2.0,1.0,480.0,,
2,67,80,5,0.0,300.0,1.0,1.0,9999.0,,
2,68,40,5,0.0,300.0,1.0,1.0,9999.0,,
3,68,40,5,0.0,300.0,2.0,1.0,420.0,,
2,23,80,5,0.0,300.0,3.0,1.0,9999.0,,
2,10,23,5,180.0,300.0,1.0,1.0,9999.0,,
3,10,23,5,180.0,300.0,1.0,1.0,420.0,,
2,10,8,5,0.0,300.0,3.0,1.0,9999.0,,
2,36,92,5,420.0,540.0,2.0,1.0,9999.0,,
3,58,100,5,60.0,180.0,2.0,1.0,480.0,,
3,43,83,5,300.0,420.0,1.0,1.0,720.0,,
2,72,59,5,0.0,300.0,4.0,1.0,9999.0,,
3,94,51,5,0.0,300.0,1.0,1.0,840.0,,
2,32,52,5,0.0,300.0,3.0,1.0,9999.0,,
3,32,52,5,0.0,300.0,1.0,1.0,720.0,,
3,56,12,5,300.0,600.0,3.0,1.0,720.0,,
2,53,78,5,0.0,300.0,1.0,1.0,9999.0,,
3,53,78,5,0.0,300.0,3.0,,840.0,,
2,91,48,5,0.0,300.0,4.0,,9999.0,,
2,23,98,5,60.0,180.0,2.0,,9999.0,,
