Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,58,77,15,,,,,,,
1,47,43,15,,,,,,,
1,35,78,15,,,,,,,
1,64,32,15,,,,,,,
2,16,35,5,0,300,2,1,9999,,
2,78,40,5,60,180,3,1,9999,,
2,4,25,5,0,300,3,1,9999,,
3,4,25,5,0,300,3,1,480,,
3,91,51,5,0,300,3,1,840,,
2,55,68,5,300,600,1,1,9999,,
3,55,68,5,300,600,1,1,720,,
2,85,74,5,300,600,2,1,9999,,
2,44,99,5,0,300,2,1,9999,,
3,44,99,5,0,300,4,1,840,,
2,29,17,5,300,600,1,1,9999,,
3,29,17,5,300,600,2,1,720,,
2,8,30,5,0,300,1,1,9999,,
3,75,29,5,0,300,4,1,720,,
2,30,58,5,300,600,4,1,9999,,
2,50,19,5,300,600,4,1,9999,,
2,6,50,5,300,600,2,1,9999,,
3,6,50,5,300,600,3,1,720,,
2,10,84,5,420,540,1,1,9999,,
2,70,84,5,0,300,3,1,9999,,
2,81,66,5,60,180,4,1,9999,,
3,81,66,5,60,180,2,1,480,,
2,30,94,5,300,600,3,1,9999,,
3,30,94,5,300,600,3,1,840,,
2,11,46,5,300,420,4,1,9999,,
2,70,59,5,0,300,1,1,9999,,
3,70,59,5,0,300,3,1,720,,
2,16,67,5,180,300,3,1,9999,,
2,86,29,5,0,300,4,1,9999,,
2,39,80,5,300,420,4,1,9999,,
3,39,80,5,300,420,4,1,720,,
2,14,63,5,60,180,4,1,9999,,
2,53,16,5,300,600,1,1,9999,,
3,53,16,5,300,600,4,1,840,,
2,77,8,5,300,420,1,1,9999,,
3,94,83,5,0,300,4,1,480,,
2,12,49,5,300,600,4,1,9999,,
2,100,29,5,0,300,3,1,9999,,
2,9,95,5,300,600,1,1,9999,,
2,88,90,5,0,300,2,1,9999,,
3,31,35,5,300,600,1,1,840,,
3,48,84,5,300,600,2,1,720,,
3,52,2,5,300,600,3,1,840,,
2,75,59,5,300,420,2,1,9999,,
2,12,9,5,300,600,3,1,9999,,
2,24,74,5,0,300,1,1,9999,,
3,24,74,5,0,300,4,1,840,,
2,62,90,5,0,300,2,1,9999,,
2,48,12,5,420,540,3,1,9999,,
2,98,86,5,60,180,2,1,9999,,
3,98,86,5,60,180,4,1,420,,
2,13,70,5,0,300,3,1,9999,,
2,42,90,5,300,600,3,1,9999,,
2,35,74,5,300,420,3,1,9999,,
2,18,100,5,0,300,3,1,9999,,
3,18,100,5,0,300,4,1,480,,
2,92,39,5,300,600,2,1,9999,,
3,41,68,5,300,600,3,1,720,,
2,55,90,5,180,300,1,1,9999,,
2,15,63,5,300,600,3,1,9999,,
2,18,79,5,300,600,3,1,9999,,
2,19,88,5,0,300,1,1,9999,,
3,19,88,5,0,300,1,1,840,,
3,45,34,5,0,300,2,1,720,,
