Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,701900,7397,0,,,,,,750,160
1,700512,8730,15,,,,,,,
1,699093,4058,15,,,,,,,
1,703619,10165,15,,,,,,,
1,702393,2384,15,,,,,,,
1,704873,5371,15,,,,,,,
1,699797,9839,15,,,,,,,
1,701900,7397,15,,,,,,,
3,704141,5189,5,60,180,1,1,780,,
3,698730,1962,5,60,180,1,1,780,,
3,701450,2862,5,60,180,1,1,780,,
3,702105,5478,5,300,420,1,1,900,,
3,703984,933,5,540,660,5,1,780,,
3,701615,5141,5,60,180,1,1,780,,
3,701697,6544,5,60,180,3,1,780,,
3,705028,4769,5,180,300,1,1,780,,
3,705270,3674,5,540,660,1,1,780,,
3,699992,7162,5,420,540,5,1,780,,
3,700018,2818,5,180,300,5,1,780,,
3,702846,3289,5,300,420,1,1,900,,
3,703368,9889,5,180,300,5,1,780,,
3,701192,5354,5,420,540,1,1,900,,
3,704907,5758,5,180,300,2,1,780,,
3,699803,12236,5,180,300,1,1,780,,
3,699803,12236,5,180,300,1,1,900,,
3,699803,12236,5,180,300,1,1,900,,
3,699516,11752,5,180,300,1,1,780,,
3,698064,4316,5,180,300,1,1,780,,
3,703351,5992,5,180,300,1,1,780,,
3,699803,12236,5,180,300,1,1,780,,
3,699803,12236,5,180,300,1,1,780,,
3,699516,11752,5,180,300,3,1,780,,
3,699803,12236,5,180,300,1,1,780,,
3,697373,10948,5,540,660,1,1,900,,
3,701919,6337,5,180,300,1,1,780,,
3,699803,12236,5,180,300,1,1,780,,
3,697373,10948,5,540,660,3,1,900,,
3,699803,12236,5,180,300,1,1,780,,
3,699803,12236,5,180,300,1,1,780,,
3,699506,11859,5,180,300,1,1,780,,
3,702902,1787,5,660,780,1,1,900,,
3,702902,1787,5,660,780,1,1,900,,
3,702053,6504,5,300,420,1,1,900,,
3,703524,4789,5,180,300,1,1,780,,
3,702614,1650,5,300,420,1,1,900,,
3,700743,2564,5,300,420,1,1,900,,
3,698205,10539,5,300,420,1,1,900,,
3,701281,5328,5,300,420,1,1,900,,
3,701041,8386,5,300,420,1,1,900,,
3,697142,11451,5,300,420,3,1,900,,
3,703897,6540,5,300,420,1,1,900,,
3,697614,11220,5,300,420,3,1,780,,
3,704259,2865,5,300,420,2,1,900,,
3,697368,10969,5,300,420,7,1,900,,
3,701851,9373,5,300,420,2,1,900,,
3,697866,10652,5,300,420,1,1,900,,
3,697204,9068,5,300,420,2,1,900,,
3,702823,5814,5,300,420,1,1,780,,
3,700716,10741,5,300,420,1,1,900,,
3,702359,7204,5,300,420,1,1,900,,
3,700530,6604,5,300,420,1,1,900,,
3,698087,3115,5,300,420,2,1,900,,
3,699334,11067,5,300,420,1,1,900,,
3,704259,2865,5,300,420,4,1,900,,
3,698586,10713,5,540,660,2,1,900,,
3,699855,11254,5,300,420,2,1,900,,
3,704189,6010,5,300,420,1,1,780,,
3,704583,1450,5,300,420,1,1,780,,
3,698974,2028,5,480,780,9,1,780,,
3,703548,9827,5,300,420,1,1,900,,
3,704059,2347,5,300,420,1,1,900,,
3,697836,8419,5,300,420,3,1,900,,
3,699307,10050,5,300,420,1,1,900,,
3,704820,1386,5,300,420,1,1,900,,
3,697836,8419,5,300,420,1,1,900,,
3,705894,5559,5,300,420,1,1,780,,
3,700863,3948,5,300,420,3,1,900,,
3,704952,1867,5,300,420,4,1,900,,
3,698947,10459,5,300,420,3,1,780,,
3,700863,3948,5,300,420,1,1,900,,
3,698186,10163,5,300,420,1,1,900,,
3,704879,1835,5,540,660,1,1,780,,
3,704059,2347,5,300,420,1,1,900,,
3,698663,2259,5,300,420,1,1,780,,
3,702455,284,5,300,420,1,1,900,,
3,698186,10163,5,300,420,1,1,900,,
3,697569,8446,5,300,420,1,1,900,,
3,701392,7747,5,300,420,1,1,900,,
3,700686,10673,5,300,420,1,1,780,,
3,698215,3711,5,300,420,1,1,900,,
3,704259,2865,5,300,420,2,1,900,,
3,701699,180,5,300,420,3,1,780,,
3,702304,8522,5,420,540,2,1,900,,
3,698663,2259,5,300,420,3,1,780,,
3,702304,8522,5,420,540,3,1,900,,
3,705432,4991,5,300,420,1,1,780,,
3,700096,3859,5,300,420,4,1,900,,
3,697915,8408,5,300,420,2,1,780,,
3,702185,7046,5,300,420,1,1,780,,
3,705727,5367,5,300,420,1,1,900,,
3,698186,10163,5,300,420,1,1,900,,
3,700085,3860,5,300,420,2,1,900,,
3,697915,8408,5,300,420,1,1,900,,
3,699301,2276,5,300,420,1,1,780,,
3,704896,2273,5,300,420,1,1,900,,
3,700313,1343,5,300,420,4,1,900,,
3,700313,1343,5,300,420,5,1,900,,
3,704805,8663,5,300,420,3,1,900,,
3,702304,8522,5,420,540,3,1,900,,
3,705983,2344,5,300,420,1,1,900,,
3,697418,10800,5,300,420,1,1,780,,
3,700514,7313,5,300,420,4,1,900,,
3,704531,5386,5,540,660,1,1,900,,
3,705230,5451,5,300,420,1,1,900,,
3,699934,5015,5,300,420,4,1,900,,
3,697964,10986,5,300,420,1,1,900,,
3,702060,6990,5,300,420,1,1,780,,
3,701959,6344,5,300,420,1,1,900,,
3,703165,8398,5,300,420,1,1,780,,
3,703171,2263,5,300,420,5,1,780,,
3,702304,8522,5,420,540,2,1,900,,
3,699113,2612,5,300,420,5,1,900,,
3,702240,5928,5,300,420,1,1,900,,
3,702240,5928,5,300,420,2,1,900,,
3,702240,5928,5,300,420,1,1,900,,
3,697915,8549,5,300,420,1,1,780,,
3,701919,6337,5,300,420,1,1,900,,
3,704894,2661,5,420,540,1,1,900,,
3,700291,8112,5,300,420,1,1,900,,
3,697578,11451,5,300,420,3,1,900,,
3,700364,7309,5,300,420,1,1,900,,
3,705922,3524,5,300,420,1,1,780,,
3,705098,2772,5,300,420,1,1,900,,
3,705549,4489,5,300,420,1,1,900,,
3,705338,8627,5,420,540,2,1,780,,
3,698087,3115,5,420,540,1,1,900,,
3,700648,11143,5,540,660,1,1,780,,
3,700648,11143,5,540,660,1,1,900,,
3,703687,5594,5,420,540,1,1,900,,
3,703532,8252,5,480,780,10,1,900,,
3,698500,7297,5,540,660,1,1,780,,
3,701441,1411,5,420,540,1,1,900,,
3,699791,4860,5,660,780,5,1,780,,
3,705207,4489,5,420,540,1,1,900,,
3,704485,8210,5,420,540,3,1,900,,
3,700648,11143,5,540,660,1,1,780,,
3,700612,3701,5,420,540,3,1,900,,
3,698668,8998,5,420,540,1,1,900,,
3,700825,10888,5,420,540,1,1,780,,
3,705393,5359,5,420,540,1,1,900,,
3,701044,750,5,420,540,4,1,900,,
3,703324,952,5,420,540,1,1,900,,
3,702368,1306,5,420,540,2,1,780,,
3,702969,10635,5,420,540,5,1,780,,
3,702304,8522,5,540,660,15,1,900,,
3,701044,750,5,420,540,3,1,900,,
3,705212,4362,5,660,780,1,1,900,,
3,701044,750,5,420,540,3,1,900,,
3,703213,6231,5,420,540,1,1,780,,
3,700788,10862,5,420,540,2,1,900,,
3,702633,5560,5,420,540,1,1,780,,
3,701993,5497,5,540,660,1,1,900,,
3,702633,5560,5,420,540,1,1,900,,
3,697146,10397,5,120,420,10,1,540,,
3,699427,8788,5,420,540,5,1,900,,
3,700928,7785,5,420,540,5,1,900,,
3,701645,7227,5,420,540,1,1,780,,
3,700799,7428,5,420,540,5,1,900,,
3,703368,9889,5,420,540,3,1,900,,
3,705507,3935,5,660,780,1,1,900,,
3,704642,9353,5,540,660,4,1,900,,
3,701851,9373,5,420,540,2,1,900,,
3,701851,9373,5,420,540,2,1,900,,
3,701851,9373,5,420,540,2,1,900,,
3,705161,3759,5,540,660,2,1,900,,
3,700874,2596,5,540,660,1,1,900,,
3,704259,2865,5,420,540,3,1,900,,
3,699142,2588,5,420,540,1,1,780,,
3,700744,366,5,420,540,2,1,900,,
3,698947,5762,5,420,540,1,1,900,,
3,699248,2374,5,420,540,4,1,900,,
3,698186,10163,5,420,540,1,1,900,,
3,703327,2627,5,480,780,20,1,900,,
3,699926,11748,5,420,540,1,1,900,,
3,703327,2627,5,480,780,5,1,900,,
3,697887,10990,5,420,540,1,1,780,,
3,704259,2865,5,420,540,3,1,900,,
3,699926,11748,5,420,540,1,1,900,,
3,700313,1343,5,420,540,1,1,900,,
3,700351,8113,5,420,540,2,1,900,,
3,700915,1105,5,420,540,1,1,780,,
3,697494,10707,5,540,660,5,1,780,,
3,700200,9270,5,540,660,1,1,900,,
3,699859,4297,5,420,540,1,1,900,,
3,699859,4297,5,420,540,1,1,900,,
3,701535,6267,5,420,540,1,1,780,,
3,700200,9270,5,540,660,1,1,900,,
3,700200,9270,5,540,660,1,1,900,,
3,700200,9270,5,540,660,1,1,900,,
3,700200,9270,5,540,660,1,1,900,,
3,698081,8003,5,420,540,1,1,900,,
3,704952,1867,5,420,540,1,1,780,,
3,700273,11846,5,480,780,10,1,900,,
3,697868,10417,5,420,540,1,1,900,,
3,700273,11846,5,480,780,20,1,900,,
3,700710,6565,5,420,540,1,1,900,,
3,698846,7883,5,420,540,2,1,780,,
3,702783,8911,5,420,540,5,1,780,,
3,697576,10922,5,420,540,1,1,900,,
