Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75.0,10.0
1,71,50,15,,,,,,,
1,54,80,15,,,,,,,
3,2,9,5,300.0,600.0,2.0,1.0,840.0,,
2,92,97,5,180.0,300.0,2.0,1.0,9999.0,,
3,92,97,5,180.0,300.0,1.0,1.0,840.0,,
2,88,20,5,0.0,300.0,4.0,1.0,9999.0,,
3,88,20,5,0.0,300.0,1.0,1.0,840.0,,
2,36,8,5,300.0,420.0,2.0,1.0,9999.0,,
3,36,8,5,300.0,420.0,1.0,1.0,840.0,,
2,78,70,5,300.0,600.0,3.0,1.0,9999.0,,
3,78,70,5,300.0,600.0,1.0,1.0,840.0,,
2,93,93,5,0.0,300.0,3.0,1.0,9999.0,,
2,94,46,5,300.0,600.0,3.0,1.0,9999.0,,
2,42,41,5,0.0,300.0,3.0,1.0,9999.0,,
3,42,41,5,0.0,300.0,1.0,1.0,720.0,,
2,98,79,5,0.0,300.0,2.0,1.0,9999.0,,
3,98,79,5,0.0,300.0,1.0,1.0,840.0,,
2,16,68,5,60.0,180.0,2.0,1.0,9999.0,,
2,67,29,5,0.0,300.0,1.0,1.0,9999.0,,
2,79,10,5,300.0,600.0,4.0,1.0,9999.0,,
3,79,10,5,300.0,600.0,1.0,1.0,720.0,,
2,31,87,5,300.0,600.0,4.0,1.0,9999.0,,
2,24,87,5,0.0,300.0,2.0,1.0,9999.0,,
2,52,43,5,0.0,300.0,4.0,1.0,9999.0,,
3,88,15,5,60.0,180.0,1.0,1.0,600.0,,
2,81,95,5,300.0,600.0,4.0,1.0,9999.0,,
2,34,61,5,0.0,300.0,4.0,1.0,9999.0,,
3,90,28,5,60.0,180.0,1.0,1.0,480.0,,
2,87,10,5,300.0,600.0,2.0,1.0,9999.0,,
2,95,65,5,300.0,600.0,1.0,1.0,9999.0,,
3,3,50,5,300.0,600.0,3.0,1.0,720.0,,
2,92,57,5,0.0,300.0,2.0,1.0,9999.0,,
2,12,52,5,0.0,300.0,1.0,1.0,9999.0,,
3,12,52,5,0.0,300.0,1.0,1.0,420.0,,
2,89,47,5,300.0,600.0,1.0,1.0,9999.0,,
2,31,85,5,0.0,300.0,3.0,1.0,9999.0,,
3,31,85,5,0.0,300.0,4.0,1.0,720.0,,
2,38,46,5,300.0,600.0,3.0,1.0,9999.0,,
3,38,46,5,300.0,600.0,2.0,1.0,840.0,,
2,82,41,5,60.0,180.0,4.0,1.0,9999.0,,
3,0,81,5,420.0,540.0,4.0,1.0,840.0,,
2,2,47,5,300.0,600.0,3.0,1.0,9999.0,,
2,32,27,5,0.0,300.0,2.0,1.0,9999.0,,
2,8,38,5,180.0,300.0,4.0,1.0,9999.0,,
3,8,38,5,180.0,300.0,2.0,1.0,840.0,,
3,95,64,5,300.0,600.0,1.0,1.0,840.0,,
2,65,64,5,0.0,300.0,1.0,1.0,9999.0,,
2,83,54,5,300.0,600.0,1.0,1.0,9999.0,,
2,47,49,5,300.0,600.0,3.0,1.0,9999.0,,
2,83,53,5,0.0,300.0,4.0,1.0,9999.0,,
2,21,55,5,300.0,600.0,2.0,1.0,9999.0,,
3,21,55,5,300.0,600.0,2.0,1.0,720.0,,
2,71,91,5,300.0,600.0,1.0,1.0,9999.0,,
2,26,90,5,300.0,600.0,3.0,1.0,9999.0,,
2,79,29,5,300.0,420.0,2.0,1.0,9999.0,,
3,79,29,5,300.0,420.0,1.0,1.0,840.0,,
3,59,1,5,0.0,300.0,1.0,1.0,840.0,,
2,73,88,5,420.0,540.0,3.0,1.0,9999.0,,
3,75,66,5,0.0,300.0,3.0,1.0,720.0,,
2,45,41,5,300.0,600.0,2.0,1.0,9999.0,,
3,45,41,5,300.0,600.0,3.0,1.0,840.0,,
3,45,77,5,0.0,300.0,3.0,1.0,480.0,,
2,83,66,5,0.0,300.0,1.0,1.0,9999.0,,
2,49,97,5,0.0,300.0,1.0,1.0,9999.0,,
3,49,97,5,0.0,300.0,3.0,1.0,840.0,,
2,6,30,5,180.0,300.0,1.0,1.0,9999.0,,
3,6,30,5,180.0,300.0,1.0,1.0,420.0,,
3,77,14,5,0.0,300.0,3.0,1.0,840.0,,
