Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75.0,10.0
1,47,40,15,,,,,,,
1,22,29,15,,,,,,,
1,69,62,15,,,,,,,
1,63,27,15,,,,,,,
3,48,70,5,0.0,300.0,1.0,1.0,720.0,,
3,38,59,5,180.0,300.0,2.0,1.0,720.0,,
2,62,21,5,300.0,600.0,3.0,1.0,9999.0,,
2,27,49,5,300.0,600.0,2.0,1.0,9999.0,,
3,66,63,5,300.0,600.0,4.0,1.0,840.0,,
3,36,100,5,300.0,600.0,3.0,1.0,840.0,,
2,63,8,5,300.0,600.0,4.0,1.0,9999.0,,
3,63,8,5,300.0,600.0,4.0,1.0,840.0,,
2,78,75,5,0.0,300.0,3.0,1.0,9999.0,,
2,28,71,5,180.0,300.0,1.0,1.0,9999.0,,
2,4,40,5,300.0,600.0,2.0,1.0,9999.0,,
3,82,22,5,420.0,540.0,4.0,1.0,840.0,,
2,87,33,5,300.0,600.0,1.0,1.0,9999.0,,
3,12,28,5,300.0,420.0,4.0,1.0,720.0,,
3,88,24,5,60.0,180.0,1.0,1.0,720.0,,
2,22,84,5,0.0,300.0,4.0,1.0,9999.0,,
3,22,84,5,0.0,300.0,4.0,1.0,720.0,,
2,97,3,5,60.0,180.0,1.0,1.0,9999.0,,
3,97,3,5,60.0,180.0,1.0,1.0,720.0,,
3,11,2,5,0.0,300.0,4.0,1.0,840.0,,
3,24,77,5,300.0,600.0,2.0,1.0,840.0,,
2,31,59,5,300.0,600.0,2.0,1.0,9999.0,,
3,31,59,5,300.0,600.0,4.0,1.0,840.0,,
3,56,81,5,0.0,300.0,4.0,1.0,420.0,,
2,24,88,5,300.0,600.0,3.0,1.0,9999.0,,
3,24,88,5,300.0,600.0,2.0,1.0,840.0,,
2,34,32,5,0.0,300.0,1.0,1.0,9999.0,,
2,94,94,5,300.0,420.0,1.0,1.0,9999.0,,
3,94,94,5,300.0,420.0,2.0,1.0,840.0,,
2,43,10,5,60.0,180.0,2.0,1.0,9999.0,,
2,25,18,5,300.0,600.0,4.0,1.0,9999.0,,
2,74,95,5,60.0,180.0,3.0,1.0,9999.0,,
3,74,95,5,60.0,180.0,4.0,1.0,720.0,,
2,57,51,5,0.0,300.0,4.0,1.0,9999.0,,
2,71,36,5,0.0,300.0,1.0,1.0,9999.0,,
3,71,36,5,0.0,300.0,1.0,1.0,720.0,,
2,67,50,5,60.0,180.0,1.0,1.0,9999.0,,
2,61,0,5,0.0,300.0,3.0,1.0,9999.0,,
2,46,2,5,300.0,600.0,4.0,1.0,9999.0,,
2,75,53,5,420.0,540.0,4.0,1.0,9999.0,,
2,62,78,5,0.0,300.0,1.0,1.0,9999.0,,
3,96,98,5,0.0,300.0,3.0,1.0,720.0,,
2,69,11,5,60.0,180.0,3.0,1.0,9999.0,,
3,92,89,5,0.0,300.0,1.0,1.0,420.0,,
2,49,11,5,300.0,420.0,3.0,1.0,9999.0,,
2,62,49,5,300.0,600.0,4.0,1.0,9999.0,,
2,91,69,5,420.0,540.0,1.0,1.0,9999.0,,
2,96,1,5,300.0,600.0,2.0,1.0,9999.0,,
2,72,67,5,300.0,420.0,2.0,1.0,9999.0,,
2,66,65,5,300.0,600.0,2.0,1.0,9999.0,,
2,53,17,5,0.0,300.0,3.0,1.0,9999.0,,
2,54,18,5,300.0,600.0,4.0,1.0,9999.0,,
2,80,93,5,300.0,600.0,3.0,1.0,9999.0,,
3,80,93,5,300.0,600.0,1.0,1.0,840.0,,
2,63,43,5,300.0,600.0,4.0,1.0,9999.0,,
2,36,11,5,300.0,600.0,1.0,1.0,9999.0,,
2,41,87,5,300.0,600.0,1.0,1.0,9999.0,,
2,13,36,5,180.0,300.0,2.0,1.0,9999.0,,
2,21,4,5,0.0,300.0,4.0,1.0,9999.0,,
3,21,4,5,0.0,300.0,4.0,1.0,720.0,,
