Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75.0,10.0
1,60,48,15,,,,,,,
1,30,57,15,,,,,,,
1,55,24,15,,,,,,,
1,23,46,15,,,,,,,
1,26,77,15,,,,,,,
1,62,34,15,,,,,,,
1,24,67,15,,,,,,,
1,75,76,15,,,,,,,
2,90,24,5,0.0,300.0,1.0,1.0,9999.0,,
2,72,43,5,300.0,600.0,3.0,1.0,9999.0,,
3,72,43,5,300.0,600.0,1.0,1.0,840.0,,
2,94,90,5,300.0,420.0,1.0,1.0,9999.0,,
2,56,87,5,420.0,540.0,1.0,1.0,9999.0,,
2,82,99,5,0.0,300.0,1.0,1.0,9999.0,,
3,63,62,5,300.0,600.0,1.0,1.0,840.0,,
3,68,39,5,0.0,300.0,3.0,1.0,720.0,,
2,53,31,5,300.0,600.0,4.0,1.0,9999.0,,
2,3,38,5,420.0,540.0,2.0,1.0,9999.0,,
3,3,38,5,420.0,540.0,3.0,1.0,720.0,,
2,59,84,5,300.0,600.0,2.0,1.0,9999.0,,
3,59,84,5,300.0,600.0,2.0,1.0,840.0,,
3,17,6,5,420.0,540.0,1.0,1.0,840.0,,
3,82,38,5,300.0,420.0,2.0,1.0,840.0,,
2,42,50,5,300.0,600.0,2.0,1.0,9999.0,,
2,41,29,5,300.0,420.0,3.0,1.0,9999.0,,
2,58,31,5,300.0,420.0,1.0,1.0,9999.0,,
2,29,12,5,420.0,540.0,3.0,1.0,9999.0,,
2,34,85,5,300.0,600.0,1.0,1.0,9999.0,,
2,27,29,5,300.0,420.0,4.0,1.0,9999.0,,
3,71,42,5,0.0,300.0,2.0,1.0,840.0,,
2,59,16,5,300.0,420.0,3.0,1.0,9999.0,,
3,59,16,5,300.0,420.0,3.0,1.0,720.0,,
2,51,24,5,180.0,300.0,3.0,1.0,9999.0,,
3,51,24,5,180.0,300.0,2.0,1.0,720.0,,
3,47,6,5,300.0,420.0,4.0,1.0,720.0,,
2,60,65,5,180.0,300.0,3.0,1.0,9999.0,,
2,52,99,5,300.0,600.0,4.0,1.0,9999.0,,
2,47,39,5,300.0,600.0,4.0,1.0,9999.0,,
3,58,1,5,300.0,600.0,3.0,1.0,840.0,,
2,7,28,5,300.0,600.0,1.0,1.0,9999.0,,
3,7,28,5,300.0,600.0,4.0,1.0,720.0,,
3,43,54,5,0.0,300.0,3.0,1.0,840.0,,
2,60,57,5,300.0,600.0,1.0,1.0,9999.0,,
2,35,98,5,180.0,300.0,3.0,1.0,9999.0,,
2,36,88,5,300.0,600.0,1.0,1.0,9999.0,,
2,22,43,5,300.0,600.0,2.0,1.0,9999.0,,
2,32,74,5,300.0,600.0,4.0,1.0,9999.0,,
3,32,74,5,300.0,600.0,2.0,1.0,840.0,,
2,24,87,5,0.0,300.0,4.0,1.0,9999.0,,
3,24,87,5,0.0,300.0,3.0,1.0,840.0,,
2,26,65,5,300.0,600.0,3.0,1.0,9999.0,,
2,52,13,5,300.0,600.0,1.0,1.0,9999.0,,
2,59,96,5,0.0,300.0,2.0,1.0,9999.0,,
2,68,56,5,300.0,600.0,4.0,1.0,9999.0,,
3,53,64,5,300.0,420.0,1.0,1.0,720.0,,
2,85,69,5,180.0,300.0,3.0,1.0,9999.0,,
2,41,48,5,0.0,300.0,4.0,1.0,9999.0,,
3,41,48,5,0.0,300.0,1.0,1.0,720.0,,
2,71,66,5,60.0,180.0,3.0,1.0,9999.0,,
2,55,69,5,420.0,540.0,3.0,1.0,9999.0,,
2,82,71,5,180.0,300.0,3.0,1.0,9999.0,,
3,82,71,5,180.0,300.0,2.0,1.0,720.0,,
2,65,11,5,300.0,600.0,2.0,1.0,9999.0,,
2,49,65,5,0.0,300.0,2.0,1.0,9999.0,,
2,0,24,5,420.0,540.0,4.0,1.0,9999.0,,
3,0,24,5,420.0,540.0,1.0,1.0,840.0,,
2,71,93,5,300.0,420.0,3.0,1.0,9999.0,,
3,71,93,5,300.0,420.0,2.0,1.0,840.0,,
2,61,3,5,300.0,600.0,2.0,1.0,9999.0,,
3,61,3,5,300.0,600.0,4.0,1.0,720.0,,
3,80,50,5,0.0,300.0,3.0,1.0,840.0,,
