Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75.0,10.0
1,55,73,15,,,,,,,
1,50,40,15,,,,,,,
3,41,92,5,0.0,300.0,4.0,1.0,420.0,,
2,48,36,5,60.0,180.0,1.0,1.0,9999.0,,
2,47,14,5,420.0,540.0,2.0,1.0,9999.0,,
3,50,3,5,300.0,600.0,4.0,1.0,720.0,,
2,82,17,5,300.0,600.0,4.0,1.0,9999.0,,
3,82,17,5,300.0,600.0,2.0,1.0,840.0,,
2,72,82,5,0.0,300.0,3.0,1.0,9999.0,,
2,84,22,5,0.0,300.0,3.0,1.0,9999.0,,
3,84,22,5,0.0,300.0,2.0,1.0,420.0,,
2,10,18,5,300.0,600.0,4.0,1.0,9999.0,,
2,60,8,5,300.0,420.0,2.0,1.0,9999.0,,
2,43,76,5,300.0,600.0,1.0,1.0,9999.0,,
3,43,76,5,300.0,600.0,3.0,1.0,720.0,,
2,94,38,5,300.0,420.0,1.0,1.0,9999.0,,
3,52,59,5,300.0,600.0,1.0,1.0,720.0,,
3,43,98,5,180.0,300.0,4.0,1.0,840.0,,
2,37,89,5,0.0,300.0,2.0,1.0,9999.0,,
2,17,72,5,0.0,300.0,2.0,1.0,9999.0,,
3,17,72,5,0.0,300.0,4.0,1.0,480.0,,
2,21,5,5,300.0,420.0,1.0,1.0,9999.0,,
3,20,71,5,420.0,540.0,1.0,1.0,720.0,,
2,86,57,5,300.0,600.0,4.0,1.0,9999.0,,
2,5,17,5,180.0,300.0,3.0,1.0,9999.0,,
2,82,3,5,300.0,600.0,1.0,1.0,9999.0,,
2,23,18,5,300.0,600.0,3.0,1.0,9999.0,,
3,23,18,5,300.0,600.0,2.0,1.0,720.0,,
2,91,91,5,420.0,540.0,2.0,1.0,9999.0,,
3,7,43,5,420.0,540.0,2.0,1.0,720.0,,
2,97,0,5,0.0,300.0,1.0,1.0,9999.0,,
2,46,29,5,0.0,300.0,4.0,1.0,9999.0,,
3,46,29,5,0.0,300.0,4.0,1.0,420.0,,
2,38,8,5,0.0,300.0,1.0,1.0,9999.0,,
2,11,60,5,420.0,540.0,3.0,1.0,9999.0,,
2,37,82,5,420.0,540.0,2.0,1.0,9999.0,,
3,54,23,5,0.0,300.0,2.0,1.0,840.0,,
3,57,67,5,0.0,300.0,4.0,1.0,480.0,,
3,21,83,5,420.0,540.0,2.0,1.0,720.0,,
2,55,12,5,300.0,600.0,4.0,1.0,9999.0,,
2,89,22,5,300.0,600.0,1.0,1.0,9999.0,,
2,45,9,5,420.0,540.0,2.0,1.0,9999.0,,
3,45,9,5,420.0,540.0,1.0,1.0,720.0,,
2,11,55,5,0.0,300.0,1.0,1.0,9999.0,,
2,75,63,5,300.0,600.0,1.0,1.0,9999.0,,
3,75,63,5,300.0,600.0,3.0,1.0,720.0,,
2,89,36,5,0.0,300.0,3.0,1.0,9999.0,,
2,1,75,5,60.0,180.0,3.0,1.0,9999.0,,
