Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75.0,10.0
1,64,80,15,,,,,,,
1,37,28,15,,,,,,,
1,68,31,15,,,,,,,
1,75,77,15,,,,,,,
1,58,44,15,,,,,,,
1,80,27,15,,,,,,,
1,66,21,15,,,,,,,
1,53,27,15,,,,,,,
3,46,14,5,300.0,420.0,3.0,1.0,720.0,,
2,20,88,5,0.0,300.0,4.0,1.0,9999.0,,
3,66,40,5,0.0,300.0,2.0,1.0,480.0,,
2,65,47,5,0.0,300.0,2.0,1.0,9999.0,,
3,65,47,5,0.0,300.0,2.0,1.0,420.0,,
3,3,69,5,300.0,600.0,2.0,1.0,720.0,,
3,63,66,5,300.0,600.0,3.0,1.0,720.0,,
2,25,64,5,0.0,300.0,2.0,1.0,9999.0,,
3,25,64,5,0.0,300.0,3.0,1.0,420.0,,
3,71,4,5,300.0,600.0,1.0,1.0,840.0,,
2,56,82,5,300.0,600.0,4.0,1.0,9999.0,,
2,47,38,5,300.0,600.0,1.0,1.0,9999.0,,
2,92,63,5,180.0,300.0,3.0,1.0,9999.0,,
2,77,29,5,300.0,600.0,3.0,1.0,9999.0,,
3,77,29,5,300.0,600.0,4.0,1.0,720.0,,
2,42,0,5,0.0,300.0,1.0,1.0,9999.0,,
2,9,38,5,180.0,300.0,1.0,1.0,9999.0,,
3,16,7,5,0.0,300.0,1.0,1.0,420.0,,
2,75,77,5,300.0,600.0,4.0,1.0,9999.0,,
2,48,9,5,420.0,540.0,3.0,1.0,9999.0,,
2,64,64,5,0.0,300.0,4.0,1.0,9999.0,,
2,20,81,5,300.0,600.0,2.0,1.0,9999.0,,
2,93,68,5,300.0,600.0,1.0,1.0,9999.0,,
2,74,32,5,300.0,600.0,3.0,1.0,9999.0,,
2,67,34,5,300.0,600.0,3.0,1.0,9999.0,,
2,86,52,5,300.0,600.0,1.0,1.0,9999.0,,
3,10,63,5,0.0,300.0,3.0,1.0,720.0,,
2,63,16,5,0.0,300.0,3.0,1.0,9999.0,,
2,92,42,5,300.0,600.0,4.0,1.0,9999.0,,
2,36,7,5,0.0,300.0,2.0,1.0,9999.0,,
2,39,23,5,0.0,300.0,1.0,1.0,9999.0,,
3,48,54,5,300.0,600.0,1.0,1.0,720.0,,
2,77,17,5,300.0,600.0,1.0,1.0,9999.0,,
3,19,80,5,300.0,420.0,4.0,1.0,720.0,,
2,32,26,5,300.0,420.0,2.0,1.0,9999.0,,
3,32,26,5,300.0,420.0,2.0,1.0,720.0,,
2,35,4,5,60.0,180.0,3.0,1.0,9999.0,,
3,35,4,5,60.0,180.0,2.0,1.0,480.0,,
2,66,21,5,180.0,300.0,4.0,1.0,9999.0,,
2,85,67,5,0.0,300.0,2.0,1.0,9999.0,,
3,85,67,5,0.0,300.0,2.0,1.0,420.0,,
2,48,4,5,420.0,540.0,4.0,1.0,9999.0,,
2,2,43,5,0.0,300.0,4.0,1.0,9999.0,,
2,33,31,5,300.0,420.0,1.0,1.0,9999.0,,
2,10,74,5,60.0,180.0,4.0,1.0,9999.0,,
3,94,31,5,0.0,300.0,3.0,1.0,420.0,,
2,47,59,5,0.0,300.0,3.0,1.0,9999.0,,
2,81,27,5,0.0,300.0,2.0,1.0,9999.0,,
2,28,14,5,420.0,540.0,1.0,1.0,9999.0,,
3,95,16,5,300.0,600.0,4.0,1.0,840.0,,
3,38,28,5,300.0,600.0,2.0,1.0,840.0,,
2,62,41,5,0.0,300.0,3.0,1.0,9999.0,,
2,98,51,5,300.0,600.0,1.0,1.0,9999.0,,
2,42,67,5,0.0,300.0,2.0,1.0,9999.0,,
3,42,67,5,0.0,300.0,3.0,1.0,720.0,,
2,82,64,5,300.0,600.0,4.0,1.0,9999.0,,
2,49,81,5,300.0,600.0,3.0,1.0,9999.0,,
2,37,8,5,0.0,300.0,3.0,1.0,9999.0,,
3,37,8,5,0.0,300.0,2.0,1.0,420.0,,
2,69,44,5,0.0,300.0,4.0,1.0,9999.0,,
2,34,10,5,60.0,180.0,2.0,1.0,9999.0,,
2,3,25,5,300.0,600.0,1.0,1.0,9999.0,,
2,12,73,5,300.0,600.0,2.0,1.0,9999.0,,
2,17,55,5,180.0,300.0,1.0,1.0,9999.0,,
3,17,55,5,180.0,300.0,1.0,1.0,420.0,,
2,7,54,5,180.0,300.0,1.0,1.0,9999.0,,
2,17,52,5,300.0,600.0,4.0,1.0,9999.0,,
2,28,9,5,300.0,600.0,2.0,1.0,9999.0,,
3,28,9,5,300.0,600.0,2.0,1.0,840.0,,
2,14,35,5,180.0,300.0,1.0,1.0,9999.0,,
3,14,35,5,180.0,300.0,2.0,1.0,480.0,,
2,80,95,5,300.0,600.0,1.0,1.0,9999.0,,
3,80,95,5,300.0,600.0,2.0,1.0,720.0,,
2,30,92,5,180.0,300.0,2.0,1.0,9999.0,,
3,30,92,5,180.0,300.0,3.0,1.0,420.0,,
2,62,54,5,60.0,180.0,4.0,1.0,9999.0,,
2,98,37,5,300.0,600.0,1.0,1.0,9999.0,,
3,6,10,5,0.0,300.0,3.0,1.0,420.0,,
2,79,47,5,60.0,180.0,2.0,1.0,9999.0,,
2,66,55,5,300.0,600.0,1.0,1.0,9999.0,,
3,66,55,5,300.0,600.0,3.0,1.0,720.0,,
2,72,24,5,300.0,600.0,2.0,1.0,9999.0,,
3,72,24,5,300.0,600.0,2.0,1.0,720.0,,
3,26,35,5,0.0,300.0,4.0,1.0,480.0,,
3,42,17,5,0.0,300.0,4.0,1.0,840.0,,
2,39,45,5,60.0,180.0,1.0,1.0,9999.0,,
2,60,95,5,300.0,600.0,1.0,1.0,9999.0,,
3,60,95,5,300.0,600.0,3.0,1.0,720.0,,
3,8,75,5,300.0,420.0,4.0,1.0,720.0,,
2,77,12,5,420.0,540.0,4.0,1.0,9999.0,,
3,77,12,5,420.0,540.0,1.0,1.0,720.0,,
3,93,6,5,300.0,420.0,3.0,1.0,840.0,,
2,94,82,5,300.0,600.0,3.0,1.0,9999.0,,
2,28,16,5,0.0,300.0,3.0,1.0,9999.0,,
3,28,16,5,0.0,300.0,1.0,1.0,420.0,,
2,66,29,5,300.0,600.0,4.0,1.0,9999.0,,
2,21,89,5,300.0,420.0,2.0,1.0,9999.0,,
2,71,7,5,0.0,300.0,2.0,1.0,9999.0,,
3,87,53,5,0.0,300.0,2.0,1.0,420.0,,
3,71,61,5,420.0,540.0,1.0,1.0,840.0,,
2,45,50,5,0.0,300.0,4.0,1.0,9999.0,,
2,45,64,5,300.0,600.0,4.0,1.0,9999.0,,
3,45,64,5,300.0,600.0,4.0,1.0,840.0,,
3,40,80,5,60.0,180.0,1.0,1.0,480.0,,
2,85,15,5,300.0,600.0,4.0,1.0,9999.0,,
2,16,42,5,300.0,600.0,4.0,1.0,9999.0,,
2,11,83,5,60.0,180.0,2.0,1.0,9999.0,,
3,11,83,5,60.0,180.0,1.0,1.0,420.0,,
3,99,37,5,0.0,300.0,2.0,1.0,840.0,,
2,96,86,5,0.0,300.0,3.0,1.0,9999.0,,
3,2,35,5,0.0,300.0,4.0,1.0,720.0,,
3,79,4,5,300.0,600.0,4.0,1.0,720.0,,
2,87,36,5,300.0,600.0,4.0,1.0,9999.0,,
3,87,36,5,300.0,600.0,2.0,1.0,720.0,,
3,55,52,5,0.0,300.0,4.0,1.0,420.0,,
2,4,57,5,420.0,540.0,2.0,1.0,9999.0,,
3,27,7,5,0.0,300.0,3.0,1.0,480.0,,
3,29,98,5,300.0,420.0,1.0,1.0,720.0,,
2,68,54,5,300.0,600.0,3.0,1.0,9999.0,,
3,31,64,5,0.0,300.0,2.0,1.0,420.0,,
2,15,6,5,180.0,300.0,1.0,1.0,9999.0,,
