Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75.0,10.0
1,42,68,15,,,,,,,
1,24,40,15,,,,,,,
1,45,47,15,,,,,,,
1,59,27,15,,,,,,,
2,50,31,5,300.0,600.0,3.0,1.0,9999.0,,
3,50,31,5,300.0,600.0,3.0,1.0,720.0,,
2,25,86,5,0.0,300.0,3.0,1.0,9999.0,,
2,9,72,5,300.0,600.0,4.0,1.0,9999.0,,
2,91,88,5,0.0,300.0,1.0,1.0,9999.0,,
2,37,32,5,300.0,420.0,3.0,1.0,9999.0,,
2,93,53,5,0.0,300.0,4.0,1.0,9999.0,,
2,73,87,5,300.0,600.0,3.0,1.0,9999.0,,
3,97,86,5,0.0,300.0,2.0,1.0,480.0,,
3,26,19,5,0.0,300.0,2.0,1.0,420.0,,
2,75,32,5,0.0,300.0,4.0,1.0,9999.0,,
2,58,27,5,300.0,600.0,3.0,1.0,9999.0,,
3,58,27,5,300.0,600.0,3.0,1.0,840.0,,
2,43,79,5,0.0,300.0,4.0,1.0,9999.0,,
2,56,27,5,0.0,300.0,2.0,1.0,9999.0,,
3,39,4,5,300.0,600.0,4.0,1.0,720.0,,
3,79,9,5,0.0,300.0,1.0,1.0,420.0,,
2,81,12,5,420.0,540.0,4.0,1.0,9999.0,,
2,30,1,5,300.0,420.0,2.0,1.0,9999.0,,
2,45,10,5,300.0,600.0,4.0,1.0,9999.0,,
2,47,10,5,300.0,420.0,2.0,1.0,9999.0,,
3,47,10,5,300.0,420.0,4.0,1.0,840.0,,
2,63,54,5,300.0,600.0,4.0,1.0,9999.0,,
2,75,57,5,420.0,540.0,4.0,1.0,9999.0,,
3,75,57,5,420.0,540.0,1.0,1.0,840.0,,
2,71,18,5,300.0,420.0,4.0,1.0,9999.0,,
3,71,18,5,300.0,420.0,2.0,1.0,720.0,,
3,35,43,5,300.0,600.0,1.0,1.0,720.0,,
2,52,1,5,300.0,600.0,2.0,1.0,9999.0,,
2,22,10,5,0.0,300.0,4.0,1.0,9999.0,,
3,22,10,5,0.0,300.0,4.0,1.0,420.0,,
2,49,16,5,300.0,600.0,4.0,1.0,9999.0,,
3,49,16,5,300.0,600.0,2.0,1.0,840.0,,
2,67,63,5,300.0,420.0,3.0,1.0,9999.0,,
2,95,50,5,0.0,300.0,2.0,1.0,9999.0,,
3,77,16,5,420.0,540.0,3.0,1.0,720.0,,
2,10,50,5,0.0,300.0,4.0,1.0,9999.0,,
3,4,60,5,180.0,300.0,1.0,1.0,420.0,,
3,44,1,5,300.0,600.0,3.0,1.0,720.0,,
2,9,78,5,300.0,420.0,3.0,1.0,9999.0,,
3,37,26,5,0.0,300.0,3.0,1.0,840.0,,
3,48,65,5,300.0,600.0,1.0,1.0,720.0,,
2,50,38,5,0.0,300.0,2.0,1.0,9999.0,,
2,19,89,5,420.0,540.0,2.0,1.0,9999.0,,
2,84,12,5,0.0,300.0,1.0,1.0,9999.0,,
2,83,16,5,0.0,300.0,2.0,1.0,9999.0,,
2,51,4,5,0.0,300.0,4.0,1.0,9999.0,,
3,92,69,5,0.0,300.0,2.0,1.0,480.0,,
2,57,17,5,0.0,300.0,1.0,1.0,9999.0,,
2,96,42,5,300.0,600.0,1.0,1.0,9999.0,,
3,96,42,5,300.0,600.0,2.0,1.0,720.0,,
3,55,2,5,0.0,300.0,2.0,1.0,420.0,,
2,97,66,5,60.0,180.0,1.0,1.0,9999.0,,
3,97,66,5,60.0,180.0,2.0,1.0,480.0,,
2,21,18,5,300.0,600.0,1.0,1.0,9999.0,,
2,23,47,5,180.0,300.0,2.0,1.0,9999.0,,
3,23,47,5,180.0,300.0,4.0,1.0,720.0,,
3,29,9,5,0.0,300.0,4.0,1.0,480.0,,
2,81,92,5,300.0,600.0,3.0,1.0,9999.0,,
2,33,84,5,300.0,600.0,2.0,1.0,9999.0,,
