Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,54,24,15,,,,,,,
1,77,59,15,,,,,,,
1,23,37,15,,,,,,,
1,79,25,15,,,,,,,
2,100,14,5,60.0,180.0,4.0,1.0,9999.0,,
3,100,14,5,60.0,180.0,4.0,1.0,9999.0,,
3,33,64,5,300.0,600.0,4.0,1.0,9999.0,,
2,77,18,5,0.0,300.0,1.0,1.0,9999.0,,
3,77,18,5,0.0,300.0,1.0,1.0,9999.0,,
3,45,98,5,0.0,300.0,4.0,1.0,9999.0,,
2,71,73,5,420.0,540.0,2.0,1.0,9999.0,,
3,92,14,5,300.0,600.0,1.0,1.0,9999.0,,
2,77,73,5,300.0,600.0,3.0,1.0,9999.0,,
2,36,75,5,420.0,540.0,1.0,1.0,9999.0,,
3,36,75,5,420.0,540.0,4.0,1.0,9999.0,,
2,64,21,5,0.0,300.0,2.0,1.0,9999.0,,
3,0,60,5,180.0,300.0,2.0,1.0,9999.0,,
3,66,27,5,180.0,300.0,2.0,1.0,9999.0,,
2,71,1,5,420.0,540.0,4.0,1.0,9999.0,,
3,71,1,5,420.0,540.0,2.0,1.0,9999.0,,
2,4,10,5,420.0,540.0,4.0,1.0,9999.0,,
2,35,0,5,420.0,540.0,2.0,1.0,9999.0,,
2,16,42,5,300.0,600.0,2.0,1.0,9999.0,,
3,16,42,5,300.0,600.0,4.0,1.0,9999.0,,
3,5,72,5,300.0,420.0,3.0,1.0,9999.0,,
2,70,8,5,420.0,540.0,4.0,1.0,9999.0,,
2,49,29,5,180.0,300.0,1.0,1.0,9999.0,,
3,49,29,5,180.0,300.0,4.0,1.0,9999.0,,
3,85,18,5,0.0,300.0,1.0,1.0,9999.0,,
2,61,55,5,0.0,300.0,3.0,1.0,9999.0,,
3,61,55,5,0.0,300.0,4.0,1.0,9999.0,,
2,88,44,5,0.0,300.0,3.0,1.0,9999.0,,
2,57,19,5,0.0,300.0,2.0,1.0,9999.0,,
3,36,21,5,420.0,540.0,2.0,1.0,9999.0,,
2,1,59,5,0.0,300.0,2.0,1.0,9999.0,,
2,4,87,5,0.0,300.0,1.0,1.0,9999.0,,
3,4,87,5,0.0,300.0,4.0,1.0,9999.0,,
2,76,61,5,0.0,300.0,1.0,1.0,9999.0,,
3,76,61,5,0.0,300.0,2.0,1.0,9999.0,,
2,24,33,5,60.0,180.0,1.0,1.0,9999.0,,
3,90,0,5,300.0,600.0,1.0,1.0,9999.0,,
2,75,37,5,0.0,300.0,1.0,1.0,9999.0,,
3,14,87,5,0.0,300.0,3.0,1.0,9999.0,,
2,19,79,5,300.0,600.0,2.0,1.0,9999.0,,
2,77,6,5,300.0,600.0,3.0,1.0,9999.0,,
2,13,78,5,300.0,420.0,1.0,1.0,9999.0,,
3,13,78,5,300.0,420.0,3.0,1.0,9999.0,,
2,34,33,5,180.0,300.0,4.0,1.0,9999.0,,
3,10,25,5,60.0,180.0,3.0,1.0,9999.0,,
2,99,55,5,0.0,300.0,2.0,1.0,9999.0,,
2,46,26,5,300.0,420.0,2.0,1.0,9999.0,,
2,96,5,5,0.0,300.0,4.0,1.0,9999.0,,
3,96,5,5,0.0,300.0,3.0,1.0,9999.0,,
3,64,10,5,0.0,300.0,1.0,1.0,9999.0,,
3,21,91,5,300.0,600.0,3.0,1.0,9999.0,,
2,42,70,5,180.0,300.0,1.0,1.0,9999.0,,
3,42,70,5,180.0,300.0,3.0,1.0,9999.0,,
2,89,6,5,300.0,600.0,1.0,1.0,9999.0,,
2,71,59,5,300.0,600.0,3.0,1.0,9999.0,,
2,73,74,5,0.0,300.0,2.0,1.0,9999.0,,
3,47,35,5,60.0,180.0,2.0,1.0,9999.0,,
3,52,96,5,0.0,300.0,4.0,1.0,9999.0,,
3,78,14,5,180.0,300.0,4.0,1.0,9999.0,,
2,22,70,5,60.0,180.0,2.0,1.0,9999.0,,
2,13,39,5,300.0,600.0,2.0,1.0,9999.0,,
3,13,39,5,300.0,600.0,1.0,1.0,9999.0,,
3,95,27,5,0.0,300.0,2.0,1.0,9999.0,,
2,28,83,5,60.0,180.0,3.0,1.0,9999.0,,
2,90,91,5,420.0,540.0,2.0,1.0,9999.0,,
3,90,91,5,420.0,540.0,4.0,1.0,9999.0,,
2,22,5,5,0.0,300.0,4.0,1.0,9999.0,,
3,22,5,5,0.0,300.0,3.0,1.0,9999.0,,
2,81,76,5,300.0,600.0,2.0,1.0,9999.0,,
2,71,53,5,300.0,600.0,2.0,1.0,9999.0,,
2,74,1,5,300.0,600.0,4.0,1.0,9999.0,,
2,53,90,5,0.0,300.0,2.0,1.0,9999.0,,
3,53,90,5,0.0,300.0,1.0,1.0,9999.0,,
2,13,60,5,300.0,600.0,2.0,1.0,9999.0,,
2,81,94,5,300.0,600.0,3.0,1.0,9999.0,,
3,3,81,5,420.0,540.0,3.0,1.0,9999.0,,
2,3,86,5,0.0,300.0,2.0,1.0,9999.0,,
2,42,98,5,300.0,600.0,2.0,1.0,9999.0,,
3,42,98,5,300.0,600.0,2.0,1.0,9999.0,,
2,41,27,5,0.0,300.0,2.0,1.0,9999.0,,
2,73,24,5,0.0,300.0,4.0,1.0,9999.0,,
2,12,93,5,0.0,300.0,2.0,1.0,9999.0,,
3,12,93,5,0.0,300.0,2.0,1.0,9999.0,,
2,19,32,5,300.0,420.0,3.0,1.0,9999.0,,
3,19,32,5,300.0,420.0,4.0,1.0,9999.0,,
2,94,26,5,300.0,600.0,2.0,1.0,9999.0,,
3,94,26,5,300.0,600.0,1.0,1.0,9999.0,,
2,64,90,5,0.0,300.0,4.0,1.0,9999.0,,
3,88,50,5,0.0,300.0,3.0,1.0,9999.0,,
2,8,32,5,420.0,540.0,1.0,1.0,9999.0,,
