Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,25,36,15,,,,,,,
1,31,71,15,,,,,,,
1,62,67,15,,,,,,,
1,70,73,15,,,,,,,
1,37,24,15,,,,,,,
1,26,47,15,,,,,,,
1,40,57,15,,,,,,,
1,67,54,15,,,,,,,
2,12,85,5,0.0,300.0,1.0,1.0,9999.0,,
2,35,52,5,0.0,300.0,3.0,1.0,9999.0,,
3,35,52,5,0.0,300.0,2.0,1.0,9999.0,,
2,100,19,5,300.0,600.0,1.0,1.0,9999.0,,
3,43,92,5,0.0,300.0,2.0,1.0,9999.0,,
2,51,100,5,300.0,420.0,4.0,1.0,9999.0,,
2,92,44,5,0.0,300.0,1.0,1.0,9999.0,,
2,46,33,5,0.0,300.0,2.0,1.0,9999.0,,
2,57,67,5,0.0,300.0,1.0,1.0,9999.0,,
3,57,67,5,0.0,300.0,3.0,1.0,9999.0,,
2,73,58,5,180.0,300.0,4.0,1.0,9999.0,,
3,73,58,5,180.0,300.0,1.0,1.0,9999.0,,
2,12,75,5,0.0,300.0,1.0,1.0,9999.0,,
2,79,42,5,0.0,300.0,4.0,1.0,9999.0,,
2,68,48,5,300.0,600.0,4.0,1.0,9999.0,,
3,68,48,5,300.0,600.0,2.0,1.0,9999.0,,
2,93,5,5,300.0,420.0,4.0,1.0,9999.0,,
3,93,5,5,300.0,420.0,1.0,1.0,9999.0,,
3,90,62,5,300.0,600.0,2.0,1.0,9999.0,,
3,85,52,5,0.0,300.0,4.0,1.0,9999.0,,
2,49,53,5,300.0,600.0,3.0,1.0,9999.0,,
2,64,8,5,300.0,420.0,4.0,1.0,9999.0,,
3,90,13,5,420.0,540.0,4.0,1.0,9999.0,,
2,77,83,5,300.0,600.0,4.0,1.0,9999.0,,
3,59,44,5,60.0,180.0,2.0,1.0,9999.0,,
2,84,38,5,300.0,600.0,3.0,1.0,9999.0,,
2,57,96,5,300.0,420.0,4.0,1.0,9999.0,,
3,57,96,5,300.0,420.0,2.0,1.0,9999.0,,
2,84,10,5,0.0,300.0,1.0,1.0,9999.0,,
3,84,10,5,0.0,300.0,3.0,1.0,9999.0,,
2,15,59,5,60.0,180.0,3.0,1.0,9999.0,,
2,59,27,5,300.0,600.0,1.0,1.0,9999.0,,
3,45,81,5,420.0,540.0,1.0,1.0,9999.0,,
2,87,38,5,0.0,300.0,4.0,1.0,9999.0,,
2,24,77,5,300.0,600.0,2.0,1.0,9999.0,,
3,5,55,5,180.0,300.0,2.0,1.0,9999.0,,
3,98,81,5,0.0,300.0,2.0,1.0,9999.0,,
2,100,66,5,0.0,300.0,3.0,1.0,9999.0,,
3,100,66,5,0.0,300.0,4.0,1.0,9999.0,,
3,24,83,5,300.0,600.0,2.0,1.0,9999.0,,
3,43,77,5,0.0,300.0,4.0,1.0,9999.0,,
2,86,87,5,300.0,600.0,1.0,1.0,9999.0,,
2,29,18,5,0.0,300.0,2.0,1.0,9999.0,,
2,60,1,5,300.0,600.0,4.0,1.0,9999.0,,
3,60,1,5,300.0,600.0,2.0,1.0,9999.0,,
3,10,71,5,300.0,600.0,4.0,1.0,9999.0,,
2,8,64,5,300.0,600.0,1.0,1.0,9999.0,,
2,37,89,5,180.0,300.0,2.0,1.0,9999.0,,
3,37,89,5,180.0,300.0,1.0,1.0,9999.0,,
2,46,97,5,420.0,540.0,1.0,1.0,9999.0,,
3,46,97,5,420.0,540.0,1.0,1.0,9999.0,,
2,89,96,5,300.0,600.0,3.0,1.0,9999.0,,
2,62,15,5,300.0,420.0,1.0,1.0,9999.0,,
2,88,61,5,0.0,300.0,1.0,1.0,9999.0,,
3,88,61,5,0.0,300.0,3.0,1.0,9999.0,,
2,49,34,5,0.0,300.0,1.0,1.0,9999.0,,
3,49,34,5,0.0,300.0,1.0,1.0,9999.0,,
2,91,38,5,420.0,540.0,1.0,1.0,9999.0,,
2,80,44,5,0.0,300.0,2.0,1.0,9999.0,,
2,2,10,5,0.0,300.0,3.0,1.0,9999.0,,
3,2,10,5,0.0,300.0,3.0,1.0,9999.0,,
2,18,77,5,0.0,300.0,2.0,1.0,9999.0,,
3,54,86,5,180.0,300.0,4.0,1.0,9999.0,,
2,91,86,5,60.0,180.0,4.0,1.0,9999.0,,
3,91,86,5,60.0,180.0,2.0,1.0,9999.0,,
2,16,99,5,60.0,180.0,4.0,1.0,9999.0,,
2,22,13,5,60.0,180.0,2.0,1.0,9999.0,,
3,22,13,5,60.0,180.0,1.0,1.0,9999.0,,
2,31,54,5,0.0,300.0,1.0,1.0,9999.0,,
3,18,99,5,0.0,300.0,2.0,1.0,9999.0,,
3,12,67,5,300.0,600.0,4.0,1.0,9999.0,,
2,95,86,5,300.0,600.0,4.0,1.0,9999.0,,
2,98,81,5,300.0,600.0,4.0,1.0,9999.0,,
2,84,75,5,180.0,300.0,4.0,1.0,9999.0,,
2,26,19,5,0.0,300.0,1.0,1.0,9999.0,,
3,26,19,5,0.0,300.0,3.0,1.0,9999.0,,
2,5,58,5,0.0,300.0,3.0,1.0,9999.0,,
2,2,80,5,0.0,300.0,4.0,1.0,9999.0,,
2,51,98,5,300.0,600.0,3.0,1.0,9999.0,,
3,51,98,5,300.0,600.0,2.0,1.0,9999.0,,
2,45,64,5,300.0,600.0,4.0,1.0,9999.0,,
2,12,30,5,300.0,600.0,4.0,1.0,9999.0,,
3,73,52,5,300.0,600.0,2.0,1.0,9999.0,,
2,52,88,5,180.0,300.0,4.0,1.0,9999.0,,
2,42,57,5,300.0,600.0,3.0,1.0,9999.0,,
2,76,89,5,0.0,300.0,4.0,1.0,9999.0,,
2,93,6,5,300.0,420.0,2.0,1.0,9999.0,,
3,66,9,5,300.0,420.0,4.0,1.0,9999.0,,
2,14,51,5,0.0,300.0,4.0,1.0,9999.0,,
2,9,78,5,300.0,600.0,1.0,1.0,9999.0,,
3,9,78,5,300.0,600.0,4.0,1.0,9999.0,,
2,41,38,5,300.0,420.0,2.0,1.0,9999.0,,
3,41,38,5,300.0,420.0,4.0,1.0,9999.0,,
2,39,20,5,300.0,600.0,4.0,1.0,9999.0,,
2,18,21,5,60.0,180.0,4.0,1.0,9999.0,,
2,91,34,5,420.0,540.0,3.0,1.0,9999.0,,
3,91,34,5,420.0,540.0,2.0,1.0,9999.0,,
2,47,45,5,300.0,420.0,4.0,1.0,9999.0,,
2,97,97,5,0.0,300.0,4.0,1.0,9999.0,,
2,73,32,5,0.0,300.0,3.0,1.0,9999.0,,
3,73,32,5,0.0,300.0,3.0,1.0,9999.0,,
3,20,5,5,0.0,300.0,1.0,1.0,9999.0,,
2,71,38,5,0.0,300.0,3.0,1.0,9999.0,,
2,27,43,5,0.0,300.0,3.0,1.0,9999.0,,
2,81,59,5,0.0,300.0,2.0,1.0,9999.0,,
3,81,59,5,0.0,300.0,2.0,1.0,9999.0,,
2,86,26,5,180.0,300.0,2.0,1.0,9999.0,,
2,60,46,5,300.0,420.0,4.0,1.0,9999.0,,
2,48,72,5,0.0,300.0,1.0,1.0,9999.0,,
2,88,18,5,180.0,300.0,3.0,1.0,9999.0,,
3,71,49,5,300.0,600.0,2.0,1.0,9999.0,,
3,78,28,5,420.0,540.0,4.0,1.0,9999.0,,
2,45,97,5,60.0,180.0,3.0,1.0,9999.0,,
2,75,14,5,420.0,540.0,2.0,1.0,9999.0,,
3,75,14,5,420.0,540.0,2.0,1.0,9999.0,,
2,62,41,5,300.0,420.0,3.0,1.0,9999.0,,
