Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,76,31,15,,,,,,,
1,75,53,15,,,,,,,
3,44,60,5,300.0,600.0,4.0,1.0,9999.0,,
3,63,65,5,0.0,300.0,2.0,1.0,9999.0,,
2,55,82,5,0.0,300.0,3.0,1.0,9999.0,,
3,55,82,5,0.0,300.0,2.0,1.0,9999.0,,
2,62,4,5,0.0,300.0,1.0,1.0,9999.0,,
2,55,48,5,300.0,600.0,3.0,1.0,9999.0,,
3,60,100,5,0.0,300.0,2.0,1.0,9999.0,,
3,63,65,5,180.0,300.0,2.0,1.0,9999.0,,
2,30,97,5,300.0,600.0,4.0,1.0,9999.0,,
3,7,74,5,300.0,600.0,1.0,1.0,9999.0,,
2,34,16,5,300.0,600.0,1.0,1.0,9999.0,,
2,23,45,5,420.0,540.0,1.0,1.0,9999.0,,
3,23,45,5,420.0,540.0,3.0,1.0,9999.0,,
2,67,73,5,180.0,300.0,1.0,1.0,9999.0,,
2,50,47,5,180.0,300.0,1.0,1.0,9999.0,,
3,50,47,5,180.0,300.0,2.0,1.0,9999.0,,
2,73,28,5,0.0,300.0,4.0,1.0,9999.0,,
3,59,34,5,300.0,600.0,4.0,1.0,9999.0,,
3,78,46,5,300.0,600.0,3.0,1.0,9999.0,,
2,12,86,5,300.0,600.0,2.0,1.0,9999.0,,
3,12,86,5,300.0,600.0,3.0,1.0,9999.0,,
2,46,10,5,0.0,300.0,2.0,1.0,9999.0,,
2,38,84,5,420.0,540.0,3.0,1.0,9999.0,,
2,91,49,5,300.0,420.0,2.0,1.0,9999.0,,
3,91,49,5,300.0,420.0,1.0,1.0,9999.0,,
3,54,51,5,300.0,600.0,3.0,1.0,9999.0,,
2,92,73,5,0.0,300.0,1.0,1.0,9999.0,,
3,92,73,5,0.0,300.0,2.0,1.0,9999.0,,
2,82,66,5,300.0,420.0,4.0,1.0,9999.0,,
2,24,53,5,300.0,600.0,2.0,1.0,9999.0,,
2,9,64,5,0.0,300.0,4.0,1.0,9999.0,,
3,9,64,5,0.0,300.0,3.0,1.0,9999.0,,
2,64,33,5,0.0,300.0,4.0,1.0,9999.0,,
2,80,51,5,180.0,300.0,1.0,1.0,9999.0,,
3,80,51,5,180.0,300.0,3.0,1.0,9999.0,,
2,49,68,5,0.0,300.0,2.0,1.0,9999.0,,
3,59,0,5,0.0,300.0,2.0,1.0,9999.0,,
2,7,4,5,300.0,600.0,2.0,1.0,9999.0,,
2,41,66,5,0.0,300.0,1.0,1.0,9999.0,,
3,41,66,5,0.0,300.0,4.0,1.0,9999.0,,
2,48,80,5,420.0,540.0,2.0,1.0,9999.0,,
3,34,33,5,300.0,420.0,1.0,1.0,9999.0,,
2,82,17,5,420.0,540.0,4.0,1.0,9999.0,,
2,39,95,5,300.0,600.0,3.0,1.0,9999.0,,
2,56,35,5,0.0,300.0,1.0,1.0,9999.0,,
3,56,35,5,0.0,300.0,3.0,1.0,9999.0,,
2,96,76,5,300.0,600.0,4.0,1.0,9999.0,,
3,96,76,5,300.0,600.0,3.0,1.0,9999.0,,
2,67,44,5,420.0,540.0,2.0,1.0,9999.0,,
3,67,44,5,420.0,540.0,1.0,1.0,9999.0,,
3,87,16,5,300.0,600.0,3.0,1.0,9999.0,,
2,57,73,5,0.0,300.0,3.0,1.0,9999.0,,
2,91,35,5,300.0,600.0,3.0,1.0,9999.0,,
2,8,70,5,300.0,600.0,1.0,1.0,9999.0,,
2,81,66,5,300.0,600.0,3.0,1.0,9999.0,,
2,16,11,5,0.0,300.0,2.0,1.0,9999.0,,
2,15,35,5,420.0,540.0,1.0,1.0,9999.0,,
3,85,58,5,300.0,600.0,3.0,1.0,9999.0,,
3,51,100,5,300.0,600.0,3.0,1.0,9999.0,,
2,48,64,5,0.0,300.0,4.0,1.0,9999.0,,
2,28,77,5,60.0,180.0,4.0,1.0,9999.0,,
2,3,46,5,300.0,600.0,3.0,1.0,9999.0,,
3,3,46,5,300.0,600.0,3.0,1.0,9999.0,,
